"time","mean","stdev","min","max","q1","q3","median","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
0.1,0.035714285714285712,0.18557687223952246,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.21428571428571427,0.45175395145262581,0,2,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.3,0.32142857142857145,0.5038119992737814,0,2,0.0,1.0,0.0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
0.4,0.35714285714285715,0.54865326770490042,0,2,0.0,1.0,0.0,1,1,1,1,0,1,0,0,0,1,0,1,2,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
0.5,0.7142857142857143,0.77261813045656924,0,3,0.0,1.0,1.0,1,1,1,1,0,1,0,0,0,1,0,1,2,2,2,1,0,3,0,1,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,2,1,0
0.6,0.5892857142857143,0.84042475898214941,0,3,0.0,1.0,0.0,1,0,1,2,0,0,0,0,0,1,0,1,2,3,1,1,0,2,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,2,1,1,0,1,2,0,0
0.7,0.625,0.83585926703346081,0,3,0.0,1.0,0.0,1,0,1,2,0,0,1,0,0,1,0,1,2,3,1,1,0,2,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,2,1,1,0,1,2,1,0
0.8,0.75,0.82915619758884995,0,3,0.0,1.0,1.0,1,1,0,1,1,0,2,0,0,0,0,1,2,2,1,1,0,2,1,1,0,0,0,0,0,3,2,0,1,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,2,1,0,2,0,1,1,2,2,2,0
0.9,0.7142857142857143,0.83909572317648073,0,3,0.0,1.0,0.5,1,1,0,1,1,0,2,0,0,0,0,1,1,2,1,1,0,1,1,1,0,0,0,0,0,3,2,1,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,1,2,0,3,0,1,0,2,2,2,0
1.0,0.6785714285714286,0.84741503697890508,0,3,0.0,1.0,0.0,1,1,0,1,1,0,2,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0,0,3,2,1,1,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,1,2,0,3,0,1,0,2,2,2,0
1.1,0.7678571428571429,1.0520570229753881,0,4,0.0,1.0,0.0,1,1,1,1,1,0,2,0,0,0,0,0,0,2,4,1,0,0,2,1,0,0,0,0,0,3,2,1,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,2,0,3,0,1,0,2,4,2,0
1.2,1.0892857142857142,0.95012754245878772,0,3,0.0,2.0,1.0,2,1,1,1,2,0,2,0,0,1,2,1,0,1,3,1,1,0,2,1,0,0,0,1,1,3,2,2,1,0,1,2,0,1,2,1,0,3,0,0,0,1,1,2,1,1,2,0,3,0,1,0,2,3,2,0
1.3,1.0892857142857142,0.98700097181681989,0,4,0.0,2.0,1.0,2,1,1,1,2,0,1,0,0,1,2,0,0,0,2,2,1,1,1,1,0,1,0,3,2,2,1,1,1,0,1,2,0,3,2,4,0,1,0,0,0,1,1,3,2,1,2,0,3,0,0,0,1,1,2,1
1.4,1.0357142857142858,1.0516022760239612,0,4,0.0,2.0,1.0,2,0,1,2,1,1,0,0,0,2,2,0,0,0,2,2,2,2,1,0,0,1,0,3,2,2,1,1,0,0,1,2,0,3,2,4,0,1,0,0,0,1,1,3,2,0,2,0,3,0,0,0,0,1,1,1
1.5,1.0535714285714286,1.1087258268768136,0,4,0.0,2.0,1.0,1,0,2,1,2,0,0,0,0,1,2,0,0,1,2,1,1,2,1,0,0,2,1,4,3,1,1,1,0,0,1,2,0,3,1,4,0,2,0,0,0,1,1,4,2,0,1,0,3,1,0,0,0,1,1,1
1.6,1.3035714285714286,1.2944889071028169,0,5,0.0,2.0,1.0,3,1,2,1,2,0,0,0,1,1,2,0,0,1,3,1,2,3,1,1,0,2,1,5,4,2,1,1,0,0,1,2,0,3,2,5,0,2,0,0,0,1,1,4,2,0,1,0,3,1,0,0,0,2,1,1
1.7,1.2857142857142858,1.4603605928757757,0,6,0.0,2.0,1.0,3,1,2,1,2,0,0,0,0,1,2,0,0,1,3,1,2,3,1,0,0,2,1,6,5,2,1,1,0,0,1,2,0,3,2,6,0,2,0,0,0,1,1,4,2,0,0,0,2,1,0,0,0,2,1,1
1.8,1.3571428571428572,1.3942300925673667,0,5,0.0,2.0,1.0,3,1,2,2,2,0,0,0,0,1,2,0,0,1,4,2,3,4,1,0,0,2,1,5,4,2,1,1,0,0,1,2,0,3,2,5,0,2,0,0,0,1,1,4,2,0,0,0,2,1,0,0,0,2,2,2
1.9,1.125,1.4646123329107554,0,6,0.0,2.0,1.0,2,1,1,2,1,0,0,0,0,1,0,0,0,2,1,2,3,4,0,0,0,2,1,5,4,2,1,0,0,0,0,0,1,2,2,5,0,2,0,0,0,1,2,6,3,0,0,0,2,1,0,0,0,1,0,0
2.0,1.3392857142857142,1.5385148882037145,0,6,0.0,2.0,1.0,2,2,0,2,0,0,1,0,0,1,1,0,0,0,1,2,4,4,1,1,0,2,1,6,5,2,1,1,0,0,0,1,1,2,3,5,1,2,0,0,0,1,3,6,2,2,0,1,2,0,0,1,0,1,1,0
2.1,1.3392857142857142,1.5500781744604932,0,5,0.0,2.0,1.0,3,3,0,2,0,0,1,0,0,1,0,0,0,0,1,2,5,5,1,1,0,2,2,5,4,2,1,0,1,0,0,0,0,2,3,5,0,2,0,0,0,1,3,5,2,2,0,1,3,1,0,1,0,1,1,0
2.2,1.3214285714285714,1.3901071754306116,0,5,0.0,2.0,1.0,3,3,2,2,0,0,1,0,0,1,0,0,0,1,2,1,4,3,1,1,0,2,2,5,4,2,1,0,1,0,0,0,0,2,3,5,0,2,0,1,0,0,3,4,1,2,0,1,3,1,0,1,0,1,2,0
2.3,1.3928571428571428,1.5080565950512432,0,6,0.0,2.0,1.0,3,3,2,1,1,0,1,0,0,1,0,0,0,1,0,1,5,5,1,1,1,2,2,6,4,2,1,1,1,0,0,1,1,2,3,5,1,2,0,0,0,0,3,4,1,2,0,1,3,1,0,1,0,0,1,0
2.4,1.3035714285714286,1.3617169159497409,0,5,0.0,2.0,1.0,4,3,2,0,1,0,1,0,0,1,0,0,0,1,1,1,5,4,1,1,1,2,2,4,3,1,1,1,0,0,0,1,2,2,3,5,0,1,0,0,0,0,2,3,1,2,0,1,4,1,0,1,1,1,1,0
2.5,1.4285714285714286,1.3209458577790663,0,4,0.0,2.0,1.0,4,4,3,0,2,0,3,0,0,0,0,0,0,1,2,1,4,4,2,1,1,2,2,4,3,1,2,1,0,0,0,1,2,2,2,4,0,1,0,1,0,0,2,3,1,2,0,1,4,1,0,1,1,1,2,1
