"time","mean","stdev","min","max","q1","q3","median","s9","s8","s3","s2","s1","s7","s6","s5","s4","s19","s18","s13","s12","s11","s10","s17","s16","s15","s14","s30","s22","s23","s20","s21","s26","s27","s24","s25","s28","s29"
0.1,0.034333333333333334,0.01939644870130154,0.034333333333333334,0.07,0.01625,0.045,0.037500000000000006,0.06,0.055,0.04,0.045,0.03,0.07,0.04,0.065,0.045,0.04,0.035,0.015,0.02,0.02,0.04,0.04,0.04,0.015,0.01,0.01,0.0,0.015,0.065,0.02,0.035,0.045,0.005,0.065,0.035,0.01
0.2,0.07466666666666667,0.03260708852722399,0.07466666666666667,0.145,0.04625,0.09375,0.07,0.135,0.09,0.08,0.07,0.05,0.145,0.115,0.095,0.07,0.105,0.07,0.045,0.05,0.045,0.085,0.11,0.07,0.045,0.04,0.025,0.035,0.06,0.14,0.08,0.07,0.07,0.025,0.105,0.08,0.035
0.3,0.11316666666666668,0.047337147733630465,0.11316666666666668,0.21,0.07375000000000001,0.14875,0.105,0.19,0.105,0.115,0.085,0.06,0.21,0.205,0.12,0.11,0.16,0.12,0.07,0.09,0.095,0.15,0.16,0.145,0.06,0.06,0.045,0.065,0.095,0.2,0.105,0.1,0.095,0.055,0.155,0.12,0.05
0.4,0.15566666666666668,0.05985723756479987,0.15566666666666668,0.285,0.11,0.19375000000000003,0.145,0.24,0.125,0.15,0.11,0.095,0.265,0.235,0.155,0.145,0.245,0.16,0.12,0.11,0.145,0.2,0.23,0.175,0.1,0.09,0.055,0.11,0.13,0.285,0.17,0.14,0.14,0.085,0.225,0.17,0.065
0.5,0.19383333333333339,0.07481848405010326,0.19383333333333339,0.35,0.14125000000000001,0.24125,0.185,0.35,0.145,0.185,0.125,0.135,0.325,0.305,0.185,0.185,0.285,0.205,0.155,0.14,0.195,0.25,0.285,0.205,0.14,0.105,0.075,0.145,0.165,0.34,0.215,0.165,0.15,0.105,0.265,0.205,0.08
0.6,0.2335,0.09016789894413642,0.2335,0.42,0.1575,0.29625,0.23,0.42,0.165,0.23,0.145,0.155,0.345,0.37,0.23,0.215,0.345,0.26,0.175,0.155,0.225,0.305,0.355,0.26,0.15,0.115,0.085,0.165,0.235,0.415,0.24,0.23,0.195,0.135,0.31,0.27,0.105
0.7,0.273,0.10377539849758868,0.273,0.495,0.1875,0.35375,0.2625,0.495,0.17,0.255,0.17,0.17,0.415,0.415,0.275,0.265,0.385,0.295,0.205,0.195,0.27,0.365,0.4,0.32,0.185,0.125,0.11,0.195,0.255,0.48,0.275,0.26,0.245,0.17,0.38,0.315,0.13
0.8,0.31350000000000006,0.11856186851878923,0.31350000000000006,0.565,0.20500000000000002,0.3975,0.305,0.565,0.19,0.315,0.2,0.18,0.48,0.505,0.33,0.3,0.415,0.345,0.22,0.24,0.32,0.405,0.445,0.375,0.195,0.145,0.125,0.235,0.29,0.535,0.31,0.295,0.3,0.19,0.45,0.345,0.16
0.9,0.3536666666666667,0.13289051466861315,0.3536666666666667,0.635,0.22875,0.42875,0.3425,0.635,0.215,0.32,0.22,0.205,0.54,0.55,0.405,0.36,0.43,0.4,0.24,0.275,0.35,0.465,0.51,0.425,0.225,0.155,0.155,0.255,0.32,0.585,0.33,0.335,0.35,0.205,0.535,0.42,0.195
1.0,0.3921666666666667,0.1503644646258624,0.3921666666666667,0.71,0.24875,0.48000000000000004,0.375,0.71,0.235,0.345,0.23,0.225,0.615,0.625,0.455,0.415,0.465,0.445,0.26,0.3,0.37,0.5,0.555,0.465,0.245,0.17,0.17,0.29,0.36,0.625,0.365,0.38,0.385,0.225,0.63,0.485,0.22
1.1,0.4311666666666667,0.1633793302580089,0.4311666666666667,0.795,0.27625,0.52875,0.4125,0.795,0.265,0.365,0.245,0.245,0.655,0.705,0.505,0.465,0.49,0.49,0.31,0.34,0.42,0.565,0.6,0.525,0.26,0.2,0.185,0.32,0.4,0.675,0.395,0.405,0.42,0.245,0.665,0.53,0.25
1.2,0.45549999999999996,0.17404190108515055,0.45549999999999996,0.845,0.30624999999999997,0.5825,0.425,0.845,0.3,0.37,0.245,0.245,0.705,0.75,0.56,0.485,0.5,0.515,0.325,0.37,0.43,0.59,0.595,0.545,0.265,0.21,0.21,0.335,0.415,0.705,0.405,0.42,0.465,0.27,0.725,0.595,0.27
1.3,0.455,0.17414553300807536,0.455,0.855,0.305,0.5787499999999999,0.4275,0.855,0.3,0.36,0.225,0.265,0.68,0.745,0.58,0.515,0.5,0.53,0.335,0.36,0.43,0.585,0.615,0.535,0.295,0.225,0.19,0.32,0.4,0.705,0.395,0.425,0.465,0.26,0.715,0.575,0.265
1.4,0.46333333333333343,0.18359980634218787,0.46333333333333343,0.885,0.32125,0.58,0.435,0.885,0.325,0.35,0.23,0.265,0.72,0.75,0.605,0.535,0.485,0.555,0.33,0.35,0.41,0.58,0.625,0.505,0.295,0.22,0.21,0.32,0.41,0.73,0.4,0.46,0.49,0.25,0.775,0.58,0.255
1.5,0.4673333333333334,0.1899286415706933,0.4673333333333334,0.925,0.295,0.57,0.435,0.925,0.345,0.37,0.23,0.28,0.74,0.75,0.635,0.56,0.46,0.56,0.31,0.34,0.41,0.57,0.625,0.52,0.285,0.215,0.22,0.29,0.4,0.73,0.41,0.47,0.505,0.245,0.79,0.57,0.26
1.6,0.4708333333333333,0.19160325037836795,0.4708333333333333,0.905,0.305,0.595,0.4275,0.905,0.36,0.365,0.225,0.28,0.73,0.76,0.685,0.6,0.47,0.555,0.32,0.335,0.39,0.58,0.645,0.54,0.295,0.2,0.215,0.3,0.39,0.73,0.4,0.455,0.525,0.255,0.785,0.565,0.265
1.7,0.47533333333333333,0.1976694772144203,0.47533333333333333,0.94,0.30624999999999997,0.6025,0.4175,0.94,0.37,0.395,0.265,0.285,0.76,0.805,0.69,0.595,0.45,0.555,0.325,0.35,0.38,0.605,0.625,0.54,0.28,0.21,0.22,0.3,0.365,0.74,0.395,0.44,0.525,0.235,0.795,0.56,0.26
1.8,0.4739999999999999,0.19693653800145874,0.4739999999999999,0.92,0.3075,0.6075,0.4075,0.92,0.38,0.36,0.255,0.285,0.78,0.795,0.715,0.61,0.44,0.54,0.315,0.345,0.38,0.6,0.635,0.52,0.28,0.22,0.23,0.305,0.37,0.72,0.4,0.415,0.53,0.235,0.795,0.575,0.27
1.9,0.4718333333333333,0.1982737305399337,0.4718333333333333,0.93,0.31125,0.6074999999999999,0.4075,0.93,0.395,0.335,0.24,0.305,0.81,0.765,0.7,0.585,0.425,0.54,0.335,0.33,0.385,0.58,0.615,0.475,0.285,0.235,0.24,0.285,0.39,0.75,0.4,0.415,0.49,0.21,0.81,0.615,0.28
2.0,0.4795,0.2024242656731977,0.4795,0.92,0.3175,0.6275,0.4225,0.92,0.4,0.345,0.24,0.315,0.83,0.765,0.715,0.59,0.44,0.54,0.36,0.325,0.375,0.545,0.655,0.47,0.315,0.255,0.23,0.28,0.4,0.785,0.405,0.45,0.475,0.2,0.845,0.64,0.275
2.1,0.4828333333333334,0.19862310764080016,0.4828333333333334,0.945,0.33125,0.6025,0.4275,0.945,0.41,0.355,0.275,0.335,0.83,0.79,0.72,0.58,0.465,0.52,0.38,0.33,0.395,0.58,0.615,0.495,0.285,0.245,0.24,0.28,0.42,0.78,0.415,0.435,0.49,0.215,0.795,0.61,0.255
2.2,0.48266666666666674,0.20028202337925607,0.48266666666666674,0.93,0.315,0.5975,0.445,0.93,0.415,0.375,0.275,0.33,0.83,0.76,0.71,0.545,0.48,0.545,0.36,0.31,0.38,0.56,0.65,0.485,0.29,0.22,0.235,0.28,0.445,0.795,0.435,0.445,0.48,0.23,0.835,0.61,0.24
2.3,0.48266666666666674,0.19542574605773474,0.48266666666666674,0.89,0.33125,0.5825,0.45,0.89,0.38,0.375,0.275,0.335,0.805,0.755,0.69,0.545,0.51,0.575,0.37,0.33,0.415,0.545,0.675,0.485,0.3,0.225,0.24,0.295,0.45,0.805,0.445,0.46,0.45,0.215,0.835,0.585,0.22
2.4,0.4843333333333334,0.19233535527533382,0.4843333333333334,0.905,0.3175,0.5974999999999999,0.465,0.905,0.375,0.365,0.275,0.315,0.79,0.735,0.675,0.53,0.51,0.6,0.38,0.31,0.435,0.57,0.725,0.5,0.325,0.24,0.245,0.275,0.465,0.775,0.435,0.475,0.465,0.23,0.795,0.59,0.22
2.5,0.49233333333333335,0.19761382092916027,0.49233333333333335,0.915,0.33125,0.61375,0.4625,0.915,0.355,0.365,0.3,0.33,0.82,0.755,0.66,0.54,0.515,0.62,0.37,0.335,0.46,0.595,0.745,0.535,0.295,0.255,0.245,0.27,0.46,0.8,0.43,0.465,0.485,0.235,0.805,0.59,0.22
2.6,0.4938333333333333,0.19301849364475127,0.4938333333333333,0.9,0.3225,0.6025,0.46499999999999997,0.9,0.375,0.35,0.29,0.315,0.795,0.735,0.7,0.525,0.53,0.605,0.38,0.345,0.455,0.595,0.73,0.56,0.295,0.25,0.24,0.305,0.47,0.79,0.46,0.45,0.495,0.25,0.81,0.59,0.225
