"src_ip","dst_ip","src_node","dst_node","flow_size","bytes_sent","bytes_left","avg_rate","curr_rate","arrive_time","install_time","end_time","remove_time","update_time","duration","status","resend","reroute"
10.0.1.50,10.0.1.168,"s30","s24",12751588.0,12751588.0,0.0,512732659.2475167,500000000.0,0.0,0.01,0.024869857166333335,0.024869857166333335,0.024869857166333335,0.024869857166333335,"removed",0.0,0.0
10.0.1.3,10.0.1.55,"s16","s30",14949866.0,14949866.0,0.0,441897205.4109225,500000000.0,0.010633318833666666,0.020633318833666668,0.044464413072196736,0.044464413072196736,0.044464413072196736,0.03383109423853007,"removed",0.0,0.0
10.0.0.217,10.0.1.131,"s11","s26",7139015.0,7139015.0,0.0,298678886.4566734,1000000000.0,0.020938494927803267,0.03093849492780327,0.044840469,0.044840469,0.044840469,0.023901974072196734,"removed",0.0,0.0
10.0.0.138,10.0.0.34,"s4","s3",9431392.0,9431392.0,0.0,485368829.98397666,1000000000.0,0.030691207260224375,0.04069120726022437,0.05012259926022437,0.05012259926022437,0.05012259926022437,0.019431391999999992,"removed",0.0,0.0
10.0.1.210,10.0.0.147,"s29","s19",7729268.0,7729268.0,0.0,435960920.6651963,1000000000.0,0.04161943845237134,0.05161943845237134,0.059348706452371336,0.059348706452371336,0.059348706452371336,0.017729267999999992,"removed",0.0,0.0
10.0.1.20,10.0.1.86,"s15","s23",12086356.0,12086356.0,0.0,547231784.1838645,1000000000.0,0.05201864820007189,0.062018648200071885,0.07410500420007189,0.07410500420007189,0.07410500420007189,0.022086356,"removed",0.0,0.0
10.0.0.198,10.0.1.209,"s12","s29",11238044.0,11238044.0,0.0,529146846.1031531,1000000000.0,0.06205459461669455,0.07205459461669456,0.08329263861669456,0.08329263861669456,0.08329263861669456,0.02123804400000001,"removed",0.0,0.0
10.0.1.169,10.0.1.106,"s24","s20",6445752.0,6445752.0,0.0,391940240.85976714,1000000000.0,0.07257698964944861,0.08257698964944862,0.08902274164944862,0.08902274164944862,0.08902274164944862,0.016445752000000008,"removed",0.0,0.0
10.0.0.85,10.0.1.55,"s7","s30",17327876.0,17327876.0,0.0,463527409.0287512,333333333.3333333,0.0815807514355987,0.09158075143559871,0.11896338655594216,0.11896338655594216,0.11896338655594216,0.037382635120343455,"removed",0.0,0.0
10.0.1.200,10.0.0.88,"s28","s7",9313235.0,9313235.0,0.0,299455103.1034012,500000000.0,0.09132800372649166,0.10132800372649167,0.12242860913772809,0.12242860913772809,0.12242860913772809,0.031100605411236423,"removed",0.0,0.0
