"time","mean","stdev","min","max","q1","q3","median","s9","s8","s3","s2","s1","s7","s6","s5","s4","s19","s18","s13","s12","s11","s10","s17","s16","s15","s14","s30","s22","s23","s20","s21","s26","s27","s24","s25","s28","s29"
0.1,0.0013333333333333333,0.00339934634239519,0.0013333333333333333,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
0.2,0.005666666666666668,0.00667499479816693,0.005666666666666668,0.02,0.0,0.01,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
0.3,0.010666666666666668,0.011527744310527055,0.010666666666666668,0.04,0.0,0.01,0.01,0.04,0.0,0.0,0.01,0.0,0.01,0.04,0.01,0.02,0.02,0.03,0.01,0.03,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.01
0.4,0.015000000000000006,0.014776106839534333,0.015000000000000006,0.05,0.0,0.0275,0.01,0.04,0.0,0.01,0.0,0.0,0.0,0.05,0.01,0.03,0.04,0.04,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0.0,0.0,0.03,0.03,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.01
0.5,0.017,0.014177446878757828,0.017,0.05,0.01,0.0275,0.01,0.04,0.0,0.01,0.0,0.0,0.01,0.04,0.01,0.02,0.05,0.03,0.01,0.02,0.03,0.0,0.04,0.03,0.01,0.0,0.01,0.02,0.04,0.01,0.02,0.0,0.01,0.01,0.01,0.02,0.01
0.6,0.020000000000000007,0.0161245154965971,0.020000000000000007,0.06,0.01,0.03,0.015,0.06,0.01,0.01,0.0,0.01,0.03,0.05,0.02,0.03,0.06,0.03,0.02,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.03,0.0,0.01,0.0,0.0,0.01,0.01
0.7,0.021000000000000005,0.01640121946685673,0.021000000000000005,0.07,0.01,0.0275,0.02,0.06,0.01,0.02,0.01,0.0,0.03,0.05,0.02,0.02,0.07,0.03,0.02,0.02,0.02,0.01,0.04,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.02,0.01,0.01,0.0,0.01,0.01,0.01
0.8,0.029666666666666678,0.021522597943143897,0.029666666666666678,0.09,0.0125,0.04,0.02,0.07,0.02,0.02,0.02,0.0,0.06,0.06,0.02,0.02,0.09,0.04,0.03,0.03,0.03,0.01,0.06,0.02,0.01,0.03,0.02,0.04,0.03,0.05,0.05,0.0,0.01,0.01,0.02,0.01,0.01
0.9,0.02766666666666668,0.022757172251597714,0.02766666666666668,0.1,0.01,0.0375,0.02,0.1,0.01,0.03,0.03,0.01,0.04,0.09,0.03,0.03,0.06,0.05,0.02,0.04,0.02,0.01,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.03,0.02,0.0,0.02,0.01,0.01,0.02,0.01
1.0,0.029333333333333343,0.020805982045769646,0.029333333333333343,0.09,0.0125,0.04,0.03,0.08,0.01,0.03,0.03,0.01,0.04,0.09,0.05,0.05,0.06,0.04,0.02,0.04,0.02,0.02,0.03,0.01,0.01,0.01,0.02,0.03,0.04,0.03,0.02,0.0,0.03,0.0,0.02,0.03,0.01
