"time","mean","stdev","min","max","q1","q3","median","s9","s8","s3","s2","s1","s7","s6","s5","s4","s19","s18","s13","s12","s11","s10","s17","s16","s15","s14","s30","s22","s23","s20","s21","s26","s27","s24","s25","s28","s29"
0.1,0.0013333333333333333,0.00339934634239519,0.0013333333333333333,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
0.2,0.006666666666666668,0.01043498389499902,0.006666666666666668,0.04,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.0,0.04,0.01,0.01,0.01,0.0,0.01
0.3,0.011333333333333336,0.009910712498212338,0.011333333333333336,0.04,0.0025,0.017499999999999998,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.0,0.03,0.02,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.03,0.0,0.02,0.01,0.0,0.04,0.02,0.01
0.4,0.015000000000000005,0.011180339887498947,0.015000000000000005,0.04,0.01,0.02,0.01,0.02,0.02,0.0,0.0,0.01,0.02,0.03,0.04,0.02,0.02,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.02,0.02,0.03,0.01,0.03,0.02,0.0,0.04,0.02,0.01
0.5,0.014666666666666672,0.013840359661351127,0.014666666666666672,0.06,0.01,0.02,0.01,0.03,0.01,0.01,0.0,0.0,0.05,0.03,0.02,0.0,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.06,0.01,0.03,0.02,0.0,0.02,0.01,0.01
0.6,0.01266666666666667,0.009285592184789412,0.01266666666666667,0.04,0.01,0.02,0.01,0.02,0.01,0.01,0.0,0.0,0.03,0.02,0.02,0.0,0.02,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.02,0.04,0.01,0.02,0.02,0.01,0.02,0.01,0.01
0.7,0.01366666666666667,0.010482790129010924,0.01366666666666667,0.04,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.04,0.02,0.01,0.01,0.01,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.03,0.0,0.03,0.02,0.0,0.03,0.01,0.01
0.8,0.012333333333333337,0.009551032521262937,0.012333333333333337,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.02,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.04,0.0,0.03,0.02,0.0,0.03,0.01,0.01
0.9,0.017333333333333336,0.013646326326972479,0.017333333333333336,0.06,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.04,0.03,0.03,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.06,0.0,0.04,0.03,0.0,0.04,0.01,0.01
1.0,0.01866666666666667,0.014079141387961916,0.01866666666666667,0.06,0.01,0.0275,0.01,0.02,0.01,0.03,0.01,0.02,0.04,0.04,0.03,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.06,0.0,0.04,0.03,0.0,0.04,0.01,0.01
1.1,0.022000000000000006,0.014922019523732925,0.022000000000000006,0.06,0.01,0.03,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.03,0.01,0.03,0.01,0.01,0.0,0.03,0.04,0.04,0.0,0.01,0.02,0.01,0.02,0.06,0.0,0.05,0.03,0.01,0.03,0.02,0.01
1.2,0.017333333333333333,0.012364824660660939,0.017333333333333333,0.05,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.04,0.02,0.0,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.02,0.05,0.01,0.04,0.03,0.01,0.04,0.02,0.01
1.3,0.018666666666666668,0.015216949614017771,0.018666666666666668,0.06,0.01,0.02,0.015,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.0,0.01,0.02,0.02,0.0,0.01,0.01,0.01,0.04,0.05,0.0,0.06,0.02,0.01,0.06,0.02,0.01
1.4,0.02033333333333334,0.014715826703096076,0.02033333333333334,0.06,0.01,0.03,0.015,0.01,0.01,0.02,0.03,0.04,0.02,0.03,0.04,0.04,0.01,0.04,0.01,0.02,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.02,0.06,0.01,0.05,0.02,0.01,0.03,0.01,0.01
1.5,0.020000000000000007,0.013416407864998741,0.020000000000000007,0.05,0.01,0.03,0.02,0.03,0.01,0.01,0.03,0.03,0.04,0.02,0.04,0.03,0.0,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.05,0.0,0.05,0.03,0.01,0.03,0.02,0.02
