"src_ip","dst_ip","src_node","dst_node","flow_size","bytes_sent","bytes_left","avg_rate","curr_rate","arrive_time","install_time","end_time","remove_time","update_time","duration","status","resend","reroute"
10.0.0.83,10.0.1.25,"sBY","sMK",7834797.0,7834797.0,0.0,439298355.90503216,1000000000.0,0.0,0.01,0.017834797,1.017834797,1.017834797,0.017834797,"removed",0.0,0.0
10.0.1.184,10.0.0.100,"sCY","sSI",7283774.0,7283774.0,0.0,368857141.8485639,500000000.0,0.0048017921714444455,0.014801792171444447,0.024548662093758132,1.024548662093758,1.024548662093758,0.019746869922313687,"removed",0.0,0.0
10.0.0.231,10.0.0.132,"sIT","sSK",5519599.0,5519599.0,0.0,265181702.54067484,333333333.3333333,0.009622470249130759,0.01962247024913076,0.030436873909403576,1.0304368739094036,1.0304368739094036,0.020814403660272818,"removed",0.0,0.0
10.0.2.17,10.0.2.87,"sHU","sRO",8757510.0,8757510.0,0.0,303430048.267373,333333333.3333333,0.014956974142323599,0.0249569741423236,0.043818683949926954,1.043818683949927,1.043818683949927,0.028861709807603355,"removed",0.0,0.0
10.0.1.81,10.0.0.181,"sIL","sDK",7305555.0,7305555.0,0.0,276631793.46993864,333333333.3333333,0.019886320782888718,0.02988632078288872,0.04629527005210527,1.0462952700521053,1.0462952700521053,0.026408949269216553,"removed",0.0,0.0
10.0.0.98,10.0.1.132,"sSI","sGR",7607725.0,7607725.0,0.0,432067459.0272166,1000000000.0,0.025246781255351784,0.035246781255351786,0.04285450625535179,1.0428545062553518,1.0428545062553518,0.017607725000000005,"removed",0.0,0.0
10.0.0.37,10.0.0.181,"sBE","sDK",918569325.0,459201132.9238239,459368192.0761761,92400713.9336063,22921108.742004257,0.030329167653631754,0.04032916765363175,-1.0,-1.0,5.0,-1.0,"active",0.0,0.0
10.0.0.65,10.0.0.198,"sNL","sIS",5737822.0,5737822.0,0.0,267702108.28075135,666666666.6666667,0.03494182166726568,0.04494182166726567,0.056375429481749104,1.0563754294817491,1.0563754294817491,0.021433607814483426,"removed",0.0,0.0
10.0.1.193,10.0.2.101,"sCZ","sRS",5759748.0,5759748.0,0.0,234087913.88656232,333333333.3333333,0.03954751166201154,0.04954751166201154,0.06415257522283742,1.0641525752228373,1.0641525752228373,0.024605063560825875,"removed",0.0,0.0
10.0.1.146,10.0.0.101,"sPT","sSI",7607731.0,7607731.0,0.0,268814637.4197842,500000000.0,0.044895872540359795,0.05489587254035979,0.07319690210118567,1.0731969021011856,1.0731969021011856,0.02830102956082587,"removed",0.0,0.0
10.0.0.88,10.0.1.102,"sBY","sES",7003912.0,7003912.0,0.0,276269869.73843384,500000000.0,0.05012093480723652,0.060120934807236515,0.07547263894577015,1.07547263894577,1.07547263894577,0.02535170413853363,"removed",0.0,0.0
10.0.1.168,10.0.2.105,"sEE","sRS",5895117.0,5895117.0,0.0,277991281.83029616,1000000000.0,0.054850629215056616,0.06485062921505662,0.07605675108041339,1.0760567510804133,1.0760567510804133,0.021206121865356774,"removed",0.0,0.0
10.0.0.162,10.0.1.180,"sSE","sCY",5332030.0,5332030.0,0.0,339749377.5393003,500000000.0,0.05978406529624575,0.06978406529624576,0.07547807491774453,1.0754780749177446,1.0754780749177446,0.015694009621498778,"removed",0.0,0.0
10.0.0.55,10.0.2.54,"sNO","sLU",7556728.0,7556728.0,0.0,421722825.0844093,1000000000.0,0.06475411567474698,0.07475411567474699,0.08267282329624576,1.0826728232962457,1.0826728232962457,0.017918707621498775,"removed",0.0,0.0
10.0.1.71,10.0.0.120,"sMD","sBG",922369606.0,233051892.62190413,689317713.3780959,47269101.36030023,14925373.134328358,0.06967795208315966,0.07967795208315967,-1.0,-1.0,5.0,-1.0,"active",0.0,0.0
