"time","mean","stdev","min","max","q1","q3","median","sDE2","sDE1","sBE","sNO","sNL","sBY","sSI","sBG","sSK","sFI","sSE","sDK","sIS","sUA","sIT","sMT","sUK","sMK","sIE","sME","sMD","sIL","sES","sCH","sGR","sPT","sEE","sCY","sCZ","sFR1","sFR2","sAT","sHR","sHU","sLT","sLU","sLV","sRO","sRS","sTR","sPL"
0.1,0.014451219512195123,0.012365276361181734,0.014451219512195123,0.05,0.005,0.02,0.0125,0.05,0.0,0.0025,0.015,0.005,0.005,0.025,0.015,0.03,0.0,0.0075,0.03,0.0075,0.0,0.02,0.0,0.0125,0.005,0.0,0.0075,0.005,0.0025,0.0175,0.025,0.0125,0.0125,0.015,0.0,0.03,0.0125,0.0175,0.0325,0.0275,0.045,0.0175,0.005,0.0175,0.0125,0.0,0.02,0.0275
0.2,0.036402439024390255,0.028127804903427967,0.036402439024390255,0.145,0.015,0.05,0.03,0.145,0.015,0.0275,0.0225,0.055,0.015,0.04,0.025,0.0475,0.005,0.015,0.0875,0.03,0.0075,0.0475,0.0075,0.0625,0.01,0.005,0.0175,0.0075,0.02,0.03,0.0725,0.0225,0.02,0.045,0.015,0.05,0.04,0.03,0.0575,0.0375,0.0825,0.05,0.0125,0.05,0.0275,0.0025,0.0625,0.07
0.3,0.05829268292682925,0.04519753063751087,0.05829268292682925,0.2275,0.0225,0.08,0.045,0.2275,0.0325,0.0575,0.0325,0.095,0.0225,0.0575,0.0425,0.08,0.0075,0.025,0.1425,0.045,0.0125,0.0775,0.0125,0.11,0.01,0.0075,0.0225,0.0075,0.0275,0.045,0.12,0.03,0.04,0.08,0.0225,0.0775,0.055,0.06,0.095,0.055,0.1275,0.0775,0.0175,0.0825,0.0425,0.0075,0.09,0.11
0.4,0.08170731707317072,0.06328034561838605,0.08170731707317072,0.3175,0.035,0.115,0.07,0.3175,0.035,0.0825,0.045,0.12,0.025,0.085,0.0525,0.1075,0.0125,0.035,0.1825,0.06,0.0125,0.115,0.015,0.16,0.015,0.01,0.025,0.015,0.0375,0.07,0.185,0.0425,0.065,0.1075,0.035,0.115,0.09,0.09,0.13,0.0775,0.185,0.105,0.0225,0.1125,0.0575,0.02,0.1275,0.1475
0.5,0.10079268292682927,0.07655390063581347,0.10079268292682927,0.3825,0.04,0.1375,0.09,0.3825,0.04,0.09,0.055,0.1375,0.035,0.11,0.0625,0.1375,0.0175,0.045,0.2125,0.0675,0.0225,0.145,0.02,0.1975,0.0175,0.0175,0.025,0.0175,0.04,0.09,0.2225,0.06,0.08,0.13,0.055,0.1475,0.1125,0.115,0.165,0.1,0.23,0.1275,0.0225,0.135,0.07,0.03,0.15,0.195
0.6,0.1311585365853659,0.09981858171901162,0.1311585365853659,0.4925,0.05,0.18,0.115,0.4925,0.0575,0.1175,0.06,0.165,0.04,0.14,0.08,0.1875,0.0225,0.06,0.27,0.09,0.03,0.2,0.025,0.2725,0.0225,0.025,0.0275,0.0225,0.05,0.115,0.3075,0.085,0.1025,0.16,0.08,0.1975,0.155,0.145,0.235,0.1325,0.295,0.1575,0.035,0.165,0.0925,0.04,0.18,0.24
0.7,0.15908536585365854,0.12104065545777021,0.15908536585365854,0.605,0.07,0.2225,0.1375,0.605,0.08,0.145,0.0725,0.2075,0.04,0.16,0.0875,0.2225,0.03,0.075,0.3275,0.105,0.0375,0.255,0.0425,0.3375,0.0225,0.04,0.0325,0.03,0.07,0.1375,0.3725,0.1125,0.1225,0.19,0.0975,0.2325,0.18,0.17,0.285,0.155,0.35,0.19,0.0475,0.195,0.11,0.04,0.2225,0.2875
0.8,0.18890243902439022,0.1425155626723175,0.18890243902439022,0.715,0.0825,0.2675,0.155,0.715,0.095,0.155,0.095,0.22,0.05,0.2,0.1125,0.27,0.0325,0.1,0.3825,0.1275,0.04,0.3025,0.045,0.385,0.0275,0.0475,0.045,0.0375,0.0825,0.165,0.435,0.13,0.1425,0.225,0.1175,0.29,0.2125,0.1975,0.3525,0.1925,0.425,0.2225,0.06,0.23,0.13,0.05,0.2675,0.3325
0.9,0.21353658536585368,0.1607470892747097,0.21353658536585368,0.8125,0.0975,0.2925,0.175,0.8125,0.105,0.17,0.105,0.2475,0.0525,0.2225,0.1275,0.2925,0.035,0.11,0.43,0.15,0.045,0.345,0.045,0.44,0.035,0.05,0.05,0.045,0.0975,0.2025,0.4925,0.15,0.175,0.255,0.1375,0.315,0.25,0.225,0.3975,0.2125,0.4725,0.2475,0.075,0.2575,0.1525,0.0525,0.3,0.3725
1.0,0.23926829268292685,0.17966707346458607,0.23926829268292685,0.9125,0.1075,0.335,0.195,0.9125,0.1225,0.19,0.1125,0.28,0.0575,0.25,0.1525,0.335,0.0375,0.12,0.4875,0.1725,0.0475,0.375,0.05,0.4875,0.045,0.0525,0.0575,0.05,0.1075,0.225,0.535,0.1725,0.195,0.2875,0.155,0.3575,0.28,0.2375,0.445,0.2475,0.5325,0.2825,0.095,0.29,0.165,0.0525,0.335,0.4175
