"src_ip","dst_ip","src_node","dst_node","flow_size","avg_rate","arrive_time","install_time","end_time","duration","resend","reroute"
10.0.2.103,10.0.0.214,"sRS","sUA",61624147.0,277872891.56583625,0.0293113664085477,0.039311366408547696,0.25108235908344645,0.22177099267489875,0,0
10.0.1.50,10.0.2.103,"sME","sRS",88534051.0,415523883.4982548,0.059831163320816394,0.0698311633208164,0.2728972577523579,0.2130660944315415,0,0
10.0.1.58,10.0.2.84,"sME","sRO",76995011.0,297840543.14437234,0.0736838418018041,0.0836838418018041,0.3321946885359177,0.2585108467341136,0,0
10.0.0.22,10.0.1.87,"sDE1","sIL",63179037.0,200079592.76946124,0.04285494690669678,0.05285494690669677,0.3586244670535971,0.3157695201469003,0,0
10.0.1.120,10.0.1.84,"sCH","sIL",79476310.0,224916251.8338127,0.006537135159028984,0.016537135159028986,0.35989670500782706,0.35335956984879807,0,0
10.0.1.199,10.0.1.152,"sCZ","sPT",57000936.0,180557155.6415255,0.07583073804262763,0.08583073804262764,0.3915254320439471,0.31569469400131944,0,0
10.0.0.121,10.0.1.17,"sBG","sMK",59837746.0,392100175.3258796,0.2512783699388266,0.2612783699388266,0.40388668221583096,0.1526083122770044,0,0
10.0.2.54,10.0.1.118,"sLU","sCH",66595803.0,271381721.08575815,0.17849159089770472,0.18849159089770473,0.42388690615165786,0.24539531525395314,0,0
10.0.0.65,10.0.1.1,"sNL","sUK",62169354.0,276810884.97882134,0.2379237896170403,0.2479237896170403,0.4625152250468882,0.22459143542984789,0,0
10.0.0.149,10.0.1.37,"sFI","sIE",59995652.0,147178024.14884064,0.06056751429083107,0.07056751429083108,0.4682075294830897,0.4076400151922586,0,0
10.0.1.226,10.0.0.4,"sFR2","sDE2",74739088.0,289538968.19131255,0.28696260158430054,0.29696260158430055,0.5450939628545259,0.2581313612702254,0,0
10.0.1.24,10.0.2.22,"sMK","sHU",64796390.0,375819576.0779047,0.37623619424853216,0.38623619424853217,0.5486497515097648,0.17241355726123264,0,0
10.0.0.177,10.0.0.58,"sDK","sNO",56090401.0,128008059.03415847,0.129208692292627,0.139208692292627,0.5673873618483656,0.4381786695557386,0,0
10.0.0.213,10.0.1.35,"sUA","sIE",51065148.0,199154326.76859668,0.31416922603155917,0.3241692260315592,0.5705791611234244,0.25640993509186527,0,0
10.0.1.106,10.0.0.10,"sES","sDE2",59063641.0,202008853.14617506,0.30516813235600204,0.31516813235600205,0.5975495803970992,0.2923814480410971,0,0
10.0.1.120,10.0.0.69,"sCH","sNL",62838540.0,261991935.0093209,0.35989670500782706,0.36989670500782706,0.5997458438668701,0.23984913885904308,0,0
10.0.1.42,10.0.1.1,"sIE","sUK",71134242.0,633029974.4306986,0.4883340979978459,0.4983340979978459,0.6007051465630785,0.11237104856523261,0,0
10.0.0.38,10.0.2.73,"sBE","sLV",64495826.0,261969499.48124298,0.4116991605270912,0.4216991605270912,0.6578950960375833,0.24619593551049213,0,0
10.0.0.99,10.0.1.19,"sSI","sMK",52264481.0,99744020.17966986,0.18628973508155655,0.19628973508155656,0.7102758437811607,0.5239861086996042,0,0
10.0.0.166,10.0.0.58,"sSE","sNO",60849084.0,171635107.0297207,0.36465569604063575,0.37465569604063576,0.7191815564723436,0.35452586043170786,0,0
10.0.0.152,10.0.1.3,"sFI","sUK",73840176.0,109708809.75495437,0.06451786147893479,0.0745178614789348,0.737573891937468,0.6730560304585332,0,0
10.0.1.101,10.0.0.242,"sES","sMT",76041922.0,116422220.24236193,0.110851448230457,0.12085144823045701,0.7640078804106692,0.6531564321802122,0,0
10.0.0.98,10.0.0.249,"sSI","sMT",57239832.0,67247613.34032707,0.0018243201837742085,0.011824320183774209,0.853004446240001,0.8511801260562268,0,0
10.0.0.55,10.0.0.68,"sNO","sNL",78773536.0,101060345.89272717,0.11807354367811185,0.12807354367811186,0.8975438225906339,0.7794702789125221,0,0
10.0.0.201,10.0.1.20,"sIS","sMK",60718747.0,74429093.41102646,0.08178415572295306,0.09178415572295306,0.8975773384329373,0.8157931827099842,0,0
10.0.0.185,10.0.0.152,"sDK","sFI",94611645.0,136903157.678952,0.20941681967316028,0.2194168196731603,0.9005012811570311,0.6910844614838708,0,0
10.0.0.216,10.0.0.84,"sUA","sBY",71234813.0,682462391.3061953,0.8187963530071946,0.8287963530071946,0.9231754571269989,0.10437910411980433,0,0
10.0.1.245,10.0.0.114,"sAT","sBG",50762531.0,214417517.5563403,0.7193495664668429,0.7293495664668429,0.9560957594949459,0.23674619302810296,0,0
10.0.0.149,10.0.0.186,"sFI","sDK",72999366.0,147825644.2540979,0.4682075294830897,0.4782075294830897,0.9620282489417594,0.49382071945866973,0,0
10.0.1.17,10.0.1.54,"sMK","sME",55477805.0,214117750.02419338,0.715671100188142,0.725671100188142,0.9747706143280557,0.2590995141399137,0,0
10.0.0.136,10.0.2.104,"sSK","sRS",54123809.0,64107700.86023657,0.16239241032088247,0.17239241032088248,1.0066561769781395,0.844263766657257,0,0
10.0.0.71,10.0.2.36,"sNL","sLT",81424993.0,93548533.82867497,0.16054255778264936,0.17054255778264937,1.0309462901289195,0.8704037323462701,0,0
10.0.0.5,10.0.1.168,"sDE2","sEE",56619423.0,75796562.92225428,0.28840186375364585,0.29840186375364586,1.0353938224533488,0.7469919586997029,0,0
10.0.0.9,10.0.0.182,"sDE2","sDK",74091444.0,94966202.97015683,0.2769161210749528,0.2869161210749528,1.0571036160228477,0.780187494947895,0,0
10.0.2.103,10.0.2.87,"sRS","sRO",72696316.0,89090119.62530212,0.25108235908344645,0.26108235908344646,1.067068646965294,0.8159862878818475,0,0
10.0.2.101,10.0.1.50,"sRS","sME",97205363.0,302632255.1024327,0.7579572362431147,0.7679572362431147,1.0791568485154373,0.3211996122723225,0,0
10.0.1.170,10.0.1.1,"sEE","sUK",97724335.0,102898624.68752536,0.1650470453452877,0.1750470453452877,1.1147617310056817,0.949714685660394,0,0
10.0.0.162,10.0.1.97,"sSE","sES",53272654.0,61751342.53852959,0.269336877887288,0.279336877887288,1.132033166097713,0.862696288210425,0,0
10.0.1.115,10.0.1.233,"sCH","sFR2",93024998.0,262925275.71891156,0.79627076050654,0.80627076050654,1.1500785020621722,0.3538077415556322,0,0
10.0.1.164,10.0.1.185,"sEE","sCY",66644737.0,178634955.21951166,0.7908875289567494,0.8008875289567494,1.163965334015144,0.3730778050583945,0,0
10.0.0.3,10.0.0.22,"sDE2","sDE1",50189982.0,64430797.05681403,0.3977929933337391,0.4077929933337391,1.1767680222433348,0.7789750289095957,0,0
10.0.1.57,10.0.2.99,"sME","sRS",94232138.0,297776606.2717153,0.8683985292426756,0.8783985292426756,1.1848509839194377,0.3164524546767621,0,0
10.0.2.88,10.0.1.243,"sRO","sAT",89271407.0,78178433.03805743,0.08727013478242573,0.09727013478242574,1.2291631547735338,1.141893019991108,0,0
10.0.0.71,10.0.1.8,"sNL","sUK",90296010.0,434739247.35502857,1.0309462901289195,1.0409462901289193,1.2386478274282653,0.20770153729934582,0,0
10.0.2.101,10.0.1.129,"sRS","sGR",56494612.0,352327548.1302097,1.0791568485154373,1.089156848515437,1.239503697065359,0.16034684854992176,0,0
10.0.0.154,10.0.1.148,"sFI","sPT",78660836.0,81710996.94024588,0.2971492287507327,0.3071492287507327,1.2598205820022856,0.962671353251553,0,0
10.0.1.19,10.0.2.82,"sMK","sRO",52199967.0,49852529.4253128,0.23076848309389297,0.24076848309389298,1.2778561153915489,1.047087632297656,0,0
10.0.1.104,10.0.1.40,"sES","sIE",72233924.0,62179124.421810865,0.15013226566905868,0.1601322656690587,1.3118392641462222,1.1617069984771635,0,0
10.0.2.51,10.0.1.117,"sLU","sCH",55291232.0,90168169.98692848,0.7567345635082693,0.7667345635082693,1.369935785269956,0.6132012217616868,0,0
10.0.1.56,10.0.1.65,"sME","sMD",54419831.0,66147885.48795879,0.5853396692478278,0.5953396692478278,1.4080391493378799,0.8226994800900521,0,0
10.0.2.53,10.0.1.181,"sLU","sCY",81778558.0,112858640.27779815,0.6937776908116089,0.7037776908116089,1.4183882106504493,0.7246105198388404,0,0
10.0.2.101,10.0.1.23,"sRS","sMK",99793762.0,485130667.49808824,1.239503697065359,1.2495036970653588,1.4452086105779505,0.20570491351259146,0,0
10.0.0.18,10.0.1.38,"sDE1","sIE",62779266.0,69828651.36858185,0.5505196384786911,0.5605196384786911,1.4495670175928523,0.8990473791141612,0,0
10.0.1.86,10.0.2.58,"sIL","sLU",52708041.0,90304431.63410327,0.8800134382978662,0.8900134382978662,1.4636840294994493,0.5836705912015832,0,0
10.0.1.82,10.0.0.200,"sIL","sIS",52488364.0,37573102.536203355,0.10983724743589829,0.1198372474358983,1.506803706338916,1.3969664589030177,0,0
10.0.1.58,10.0.2.81,"sME","sRO",94374481.0,78954863.15868928,0.3321946885359177,0.3421946885359177,1.5274913076981755,1.1952966191622578,0,0
10.0.0.66,10.0.1.182,"sNL","sCY",96231780.0,117909792.5668022,0.7394835472990495,0.7494835472990495,1.555631026699283,0.8161474794002335,0,0
10.0.0.71,10.0.0.36,"sNL","sBE",93609989.0,233306680.54379815,1.2386478274282653,1.248647827428265,1.6398793257368909,0.4012314983086256,0,0
10.0.1.103,10.0.2.23,"sES","sHU",58605542.0,36225965.686306775,0.052423331726414446,0.06242333172641444,1.6702005500754227,1.6177772183490082,0,0
10.0.2.138,10.0.0.184,"sPL","sDK",99733962.0,88278905.86735511,0.5507885766648547,0.5607885766648547,1.6805484102298163,1.1297598335649615,0,0
10.0.0.55,10.0.0.73,"sNO","sNL",64303840.0,81568017.50340849,0.8975438225906339,0.9075438225906339,1.685890063779013,0.7883462411883791,0,0
10.0.1.104,10.0.2.40,"sES","sLT",98825603.0,263022350.3026486,1.3118392641462222,1.321839264146222,1.6875700827868647,0.3757308186406425,0,0
10.0.2.134,10.0.0.183,"sPL","sDK",98595131.0,87848762.23052418,0.57680335056044,0.58680335056044,1.6991314118400769,1.122328061279637,0,0
