"time","mean","stdev","min","max","q1","q3","median","s9","s8","s3","s2","s1","s7","s6","s5","s4","s19","s18","s13","s12","s11","s10","s17","s16","s15","s14","s30","s22","s23","s20","s21","s26","s27","s24","s25","s28","s29"
0.1,0.0011666666666666668,0.0021147629234082536,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0
0.2,0.003,0.003559026084010437,0.0,0.015,0.0,0.005,0.0025,0.0,0.005,0.0,0.005,0.005,0.01,0.0,0.005,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.005,0.0,0.005,0.0,0.015,0.005,0.005
0.3,0.004833333333333333,0.006121455890735653,0.0,0.025,0.0,0.005,0.005,0.005,0.005,0.0,0.005,0.005,0.02,0.005,0.005,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.01,0.005,0.0,0.01,0.0,0.025,0.015,0.01
0.4,0.006333333333333333,0.007180219742846005,0.0,0.03,0.0,0.01,0.005,0.005,0.0,0.0,0.005,0.01,0.015,0.005,0.01,0.01,0.01,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.005,0.02,0.005,0.0,0.01,0.005,0.03,0.02,0.01
0.5,0.006166666666666667,0.006542595475463507,0.0,0.025,0.0,0.01,0.005,0.005,0.0,0.0,0.005,0.01,0.015,0.005,0.005,0.01,0.01,0.005,0.005,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.02,0.01,0.0,0.01,0.0,0.025,0.015,0.015
0.6,0.006666666666666667,0.0062360956446232355,0.0,0.02,0.0,0.01,0.005,0.01,0.0,0.005,0.01,0.01,0.015,0.01,0.005,0.01,0.01,0.01,0.005,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.005,0.02,0.01,0.0,0.0,0.0,0.02,0.02,0.01
0.7,0.006,0.005228129047119374,0.0,0.015,0.0,0.01,0.005,0.01,0.0,0.01,0.01,0.015,0.015,0.01,0.01,0.015,0.005,0.005,0.005,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.01,0.01,0.0,0.005,0.0,0.015,0.01,0.005
0.8,0.005833333333333333,0.006465721580423607,0.0,0.025,0.0,0.01,0.005,0.015,0.01,0.005,0.01,0.01,0.025,0.01,0.005,0.01,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.015,0.005,0.0,0.005,0.0,0.02,0.01,0.005
0.9,0.008666666666666666,0.008055363982396382,0.0,0.035,0.005,0.01,0.005,0.02,0.01,0.01,0.01,0.005,0.035,0.015,0.005,0.005,0.01,0.01,0.005,0.0,0.0,0.005,0.005,0.005,0.005,0.0,0.0,0.005,0.01,0.025,0.01,0.005,0.005,0.0,0.025,0.01,0.005
1.0,0.006666666666666667,0.007340905181848414,0.0,0.03,0.0,0.01,0.005,0.01,0.01,0.0,0.0,0.0,0.03,0.01,0.005,0.005,0.005,0.0,0.005,0.0,0.0,0.01,0.005,0.01,0.0,0.005,0.0,0.005,0.01,0.02,0.01,0.0,0.005,0.0,0.025,0.01,0.005
1.1,0.008166666666666666,0.00811206234909197,0.0,0.03,0.0,0.01,0.005,0.015,0.005,0.0,0.0,0.0,0.03,0.01,0.01,0.005,0.005,0.0,0.0,0.0,0.005,0.015,0.005,0.005,0.0,0.0,0.005,0.01,0.015,0.02,0.01,0.0,0.015,0.01,0.03,0.01,0.01
1.2,0.008166666666666666,0.010204846343227755,0.0,0.04,0.0,0.015,0.005,0.02,0.0,0.0,0.0,0.0,0.035,0.015,0.015,0.005,0.0,0.0,0.0,0.005,0.005,0.015,0.0,0.0,0.0,0.0,0.005,0.0,0.01,0.015,0.0,0.005,0.015,0.01,0.04,0.015,0.015
