"time","mean","stdev","min","max","q1","q3","median","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
0.1,0.232142857143,0.499681020701,0,2,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
0.2,0.571428571429,0.728431359085,0,3,0.0,1.0,0.0,1,0,0,1,0,1,0,0,0,0,1,0,2,1,0,2,0,1,1,2,3,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2,0,1,0,1,0,0,2,0,1,0
0.3,0.785714285714,0.817537367304,0,3,0.0,1.0,1.0,2,0,1,2,1,2,0,0,0,0,1,0,2,2,1,2,0,1,1,2,3,0,1,1,2,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,2,0,2,0,1,1,1,1,0,2,0,1,0
0.4,1.03571428571,0.885685483403,0,3,0.0,2.0,1.0,3,0,2,2,1,2,0,0,0,0,1,0,2,2,1,2,0,1,1,2,3,0,1,1,2,1,2,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,3,1,3,1,1,2,1,1,0,2,0,1,1
0.5,1.01785714286,0.990870314215,0,4,0.0,2.0,1.0,4,0,2,3,1,2,0,0,0,0,1,0,2,2,1,2,0,2,1,2,3,0,1,1,2,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,1,2,0,3,1,1,2,1,1,0,2,0,1,1
0.6,1.08928571429,1.03986238297,0,4,0.0,2.0,1.0,4,0,2,3,1,2,0,0,0,1,1,0,2,1,2,3,0,2,1,2,3,0,1,1,2,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,1,2,0,3,2,2,2,0,2,0,2,0,1,1
0.7,1.05357142857,1.09250110914,0,4,0.0,2.0,1.0,4,0,2,3,1,2,0,0,0,2,1,0,2,1,2,3,0,2,1,3,3,0,1,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,3,2,2,2,0,2,0,3,0,1,1
0.8,0.892857142857,1.04673934927,0,5,0.0,1.0,1.0,5,1,1,3,0,2,1,0,0,2,1,0,1,1,1,3,0,2,0,2,2,0,1,0,1,1,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,2,1,2,0,2,0,2,0,1,1
0.9,0.821428571429,1.0369450815,0,5,0.0,1.0,1.0,5,1,1,3,0,1,1,0,0,2,1,0,1,0,1,3,0,2,0,2,2,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,1,1,0,2,0,2,0,1,1
1.0,0.678571428571,0.86823184151,0,4,0.0,1.0,0.0,4,1,1,2,0,1,1,0,0,2,0,0,0,0,1,2,0,2,0,1,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,1,1,0,2,0,1,0,1,1
1.1,0.696428571429,0.924268878186,0,4,0.0,1.0,0.0,4,1,1,2,0,1,1,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,2,1,2,1,3,0,0,1,1,1
1.2,0.678571428571,0.927884361198,0,4,0.0,1.0,0.0,4,1,1,2,0,0,1,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,0,2,0,0,1,0,2,1,2,0,0,1,1,0
1.3,0.803571428571,1.15603452212,0,5,0.0,1.0,0.0,5,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,4,3,1,0,0,1,0,0,0,1,2,2,0,0,1,0,0,0,2,0,0,1,0,3,1,3,0,0,2,1,0
1.4,0.946428571429,1.15603452212,0,5,0.0,1.25,1.0,5,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,0,1,4,3,1,0,0,1,0,0,0,1,2,2,0,0,2,0,1,0,2,0,1,1,0,3,1,3,2,0,2,2,0
1.5,0.875,1.22565580114,0,5,0.0,1.0,0.0,5,1,1,3,0,0,1,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,0,0,0,5,3,1,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,1,0,1,2,0,4,1,2,2,0,2,0,0
1.6,1.08928571429,1.43024455594,0,7,0.0,2.0,1.0,7,3,1,3,0,0,2,0,1,2,0,0,1,1,0,1,2,2,1,2,1,0,0,0,0,5,3,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,0,1,2,0,4,1,3,2,1,2,0,0
1.7,1.14285714286,1.38136282899,0,6,0.0,2.0,1.0,6,2,1,3,0,0,2,0,1,2,0,0,1,1,0,1,1,1,1,2,1,0,0,1,1,6,4,0,1,0,0,0,0,0,1,2,2,0,0,0,0,1,0,2,1,1,2,0,4,1,3,2,1,2,0,0
1.8,1.17857142857,1.33773720002,0,6,0.0,2.0,1.0,5,2,0,3,0,0,2,0,2,2,0,0,2,1,0,1,1,2,1,3,2,0,0,1,1,6,3,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,1,1,2,0,4,1,3,2,2,2,0,0
1.9,1.19642857143,1.28757306113,0,6,0.0,2.0,1.0,4,2,1,3,0,0,2,0,2,2,0,0,2,2,0,1,1,1,1,3,2,0,0,1,1,6,3,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,1,1,2,0,4,2,3,2,2,2,0,0
2.0,1.16071428571,1.30625945949,0,6,0.0,2.0,1.0,4,2,1,3,0,0,2,0,2,1,0,0,2,2,0,1,0,1,1,3,2,0,0,1,1,6,3,0,1,0,0,0,0,0,1,3,1,0,0,0,0,1,0,2,1,1,2,0,4,2,3,1,2,2,0,0
2.1,1.32142857143,1.35102002281,0,6,0.0,2.0,1.0,4,1,2,3,0,0,1,0,2,1,1,0,2,2,1,1,1,1,1,5,4,0,0,1,1,6,3,0,1,0,1,0,1,0,1,3,2,0,0,0,0,1,0,2,1,1,2,0,3,2,2,2,3,2,0,0
2.2,1.125,1.35042982575,0,6,0.0,2.0,1.0,4,1,2,3,0,0,1,0,2,1,1,0,1,2,1,1,2,2,0,4,4,0,0,0,0,6,3,0,0,0,1,0,1,0,1,2,2,0,0,0,0,0,0,1,0,0,2,0,3,2,1,1,3,2,0,0
2.3,1.26785714286,1.43291749624,0,6,0.0,2.0,1.0,4,1,3,4,0,0,1,0,2,1,1,0,1,3,2,2,1,2,2,4,5,0,0,0,0,6,3,0,0,0,1,0,1,0,1,2,2,0,0,0,0,0,0,1,0,1,1,0,2,3,1,1,3,2,1,0
2.4,1.26785714286,1.45762859551,0,5,0.0,2.0,1.0,4,1,3,4,0,1,2,0,2,1,0,0,2,4,2,1,2,2,1,4,5,0,0,0,0,5,3,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,1,1,0,1,0,2,4,1,1,3,2,0,0
2.5,1.26785714286,1.40777270168,0,6,0.0,2.0,1.0,4,1,2,3,0,0,1,0,2,1,0,0,3,2,2,1,3,3,1,3,6,0,0,2,1,5,3,0,1,0,0,0,1,0,1,1,4,0,0,0,0,0,0,2,1,0,1,0,2,2,1,1,2,2,0,0
