"time","mean","stdev","min","max","q1","q3","median","s9","s8","s3","s2","s1","s7","s6","s5","s4","s19","s18","s13","s12","s11","s10","s17","s16","s15","s14","s30","s22","s23","s20","s21","s26","s27","s24","s25","s28","s29"
0.1,0.0002,0.0004,0.0002,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0
0.2,0.000833333333333,0.000897527467856,0.000833333333333,0.003,0.0,0.001,0.001,0.001,0.003,0.001,0.0,0.0,0.002,0.001,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.002,0.001,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.003,0.002,0.0
0.3,0.00123333333333,0.00102252411001,0.00123333333333,0.004,0.001,0.002,0.001,0.001,0.003,0.001,0.0,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.0,0.0,0.002,0.003,0.004,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.003,0.002,0.0
0.4,0.00123333333333,0.000919540948276,0.00123333333333,0.003,0.001,0.002,0.001,0.001,0.003,0.001,0.0,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.0,0.001,0.002,0.003,0.003,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.003,0.002,0.0
0.5,0.00146666666667,0.00111753697428,0.00146666666667,0.004,0.001,0.002,0.001,0.001,0.003,0.001,0.0,0.001,0.002,0.002,0.002,0.001,0.002,0.001,0.0,0.0,0.0,0.002,0.004,0.003,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.003,0.002,0.0,0.004,0.002,0.0
0.6,0.0015,0.00120415945788,0.0015,0.005,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.003,0.001,0.001,0.002,0.001,0.0,0.001,0.0,0.002,0.004,0.003,0.001,0.001,0.002,0.0,0.0,0.002,0.001,0.002,0.002,0.0,0.005,0.003,0.0
0.7,0.000866666666667,0.000884433277428,0.000866666666667,0.003,0.0,0.00175,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.0,0.001,0.002,0.0,0.0,0.001,0.0,0.001,0.002,0.002,0.0,0.001,0.001,0.0,0.0,0.002,0.001,0.002,0.001,0.0,0.003,0.002,0.0
0.8,0.000566666666667,0.000843932593411,0.000566666666667,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.002,0.001,0.001,0.0,0.001,0.0,0.0
0.9,0.000566666666667,0.000803464719546,0.000566666666667,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.001,0.0,0.001,0.002,0.002,0.0,0.002,0.002,0.0,0.001,0.001,0.0
1.0,0.000633333333333,0.000948097510222,0.000633333333333,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.001,0.0,0.001,0.002,0.003,0.0,0.003,0.002,0.0,0.001,0.001,0.0
1.1,0.000466666666667,0.000763034876151,0.000466666666667,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.003,0.002,0.0,0.002,0.001,0.001,0.0,0.001,0.0
1.2,0.000266666666667,0.000573488351136,0.000266666666667,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0
1.3,0.0005,0.000718795288428,0.0005,0.003,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.003,0.001,0.002,0.0,0.0,0.0,0.0,0.0
1.4,0.000666666666667,0.000829993306533,0.000666666666667,0.003,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.002,0.001,0.003,0.002,0.002,0.0,0.001,0.0,0.0,0.0
