"time","mean","stdev","min","max","q1","q3","median","s9","s8","s3","s2","s1","s7","s6","s5","s4","s19","s18","s13","s12","s11","s10","s17","s16","s15","s14","s30","s22","s23","s20","s21","s26","s27","s24","s25","s28","s29"
0.1,0.0006666666666666666,0.0024944382578492943,0.0006666666666666666,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.005000000000000001,0.006708203932499372,0.005000000000000001,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.02,0.0,0.01,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0
0.3,0.005666666666666666,0.005587684871413405,0.005666666666666666,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.0
0.4,0.005333333333333332,0.007630348761506398,0.005333333333333332,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.03,0.0
0.5,0.008333333333333335,0.010027739304327548,0.008333333333333335,0.04,0.0,0.01,0.01,0.02,0.0,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.03,0.04,0.01
0.6,0.009000000000000001,0.012476644848141935,0.009000000000000001,0.05,0.0,0.01,0.005,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.02,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.0,0.01,0.0,0.01,0.01,0.03,0.05,0.0
0.7,0.006,0.007118052168020873,0.006,0.02,0.0,0.01,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0
0.8,0.006333333333333332,0.007520342781785652,0.006333333333333332,0.03,0.0,0.01,0.005,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.03,0.01
0.9,0.010666666666666666,0.010934146311237817,0.010666666666666666,0.04,0.0,0.02,0.01,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.02,0.02,0.02,0.01,0.0,0.01,0.0,0.0,0.03,0.0,0.02,0.01,0.01,0.02,0.03,0.0,0.02,0.0,0.01,0.0,0.01,0.04,0.0
1.0,0.009666666666666667,0.007951240294584374,0.009666666666666667,0.03,0.0025,0.01,0.01,0.01,0.0,0.01,0.03,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.02,0.03,0.0
1.1,0.013000000000000001,0.011874342087037918,0.013000000000000001,0.05,0.01,0.02,0.01,0.03,0.0,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.02,0.01,0.02,0.02,0.01,0.0,0.01,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.04,0.05,0.01
1.2,0.014666666666666668,0.01521694961401777,0.014666666666666668,0.06,0.01,0.02,0.01,0.04,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.02,0.01,0.02,0.02,0.01,0.0,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.06,0.06,0.01
1.3,0.017000000000000005,0.014640127503998498,0.017000000000000005,0.06,0.01,0.02,0.01,0.03,0.01,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.0,0.01,0.03,0.02,0.02,0.02,0.01,0.01,0.0,0.03,0.01,0.02,0.0,0.02,0.0,0.02,0.01,0.06,0.06,0.0
1.4,0.013666666666666667,0.011396880664852506,0.013666666666666667,0.04,0.01,0.02,0.01,0.04,0.01,0.0,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.02,0.02,0.0,0.04,0.03,0.0
1.5,0.013666666666666669,0.0132874209519965,0.013666666666666669,0.05,0.0,0.02,0.01,0.05,0.01,0.01,0.01,0.01,0.04,0.03,0.0,0.0,0.02,0.0,0.01,0.03,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.01,0.0,0.04,0.02,0.0
1.6,0.01900000000000001,0.015989579940281943,0.01900000000000001,0.06,0.01,0.03,0.015,0.05,0.01,0.04,0.02,0.04,0.04,0.03,0.03,0.03,0.01,0.0,0.01,0.02,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.02,0.01,0.06,0.04,0.0
1.7,0.02400000000000001,0.014966629547095765,0.02400000000000001,0.07,0.02,0.03,0.02,0.07,0.01,0.02,0.02,0.03,0.03,0.05,0.02,0.02,0.04,0.03,0.02,0.04,0.03,0.02,0.02,0.02,0.01,0.0,0.0,0.02,0.02,0.02,0.03,0.01,0.02,0.02,0.05,0.03,0.0
1.8,0.021333333333333346,0.014313940369055925,0.021333333333333346,0.06,0.01,0.03,0.02,0.06,0.01,0.02,0.02,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.03,0.03,0.02,0.03,0.02,0.01,0.05,0.04,0.0
1.9,0.02533333333333334,0.015434449203720302,0.02533333333333334,0.07,0.02,0.03,0.02,0.07,0.01,0.03,0.02,0.03,0.04,0.03,0.04,0.04,0.02,0.03,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.0,0.0,0.02,0.03,0.02,0.02,0.02,0.04,0.02,0.06,0.04,0.02
2.0,0.029333333333333343,0.019310331143946986,0.029333333333333343,0.08,0.02,0.04,0.025,0.08,0.02,0.04,0.03,0.04,0.05,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.04,0.07,0.01,0.02,0.01,0.0,0.0,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.07,0.05,0.01
2.1,0.024000000000000007,0.01451436070471816,0.024000000000000007,0.06,0.01,0.03,0.02,0.06,0.01,0.03,0.02,0.04,0.04,0.03,0.03,0.03,0.01,0.03,0.01,0.02,0.02,0.04,0.02,0.02,0.01,0.01,0.0,0.01,0.03,0.02,0.01,0.02,0.03,0.01,0.06,0.04,0.01
2.2,0.029000000000000012,0.01776701062831524,0.029000000000000012,0.08,0.02,0.04,0.03,0.08,0.02,0.03,0.02,0.04,0.04,0.05,0.03,0.04,0.02,0.02,0.02,0.03,0.03,0.04,0.01,0.02,0.01,0.01,0.0,0.01,0.04,0.03,0.01,0.03,0.04,0.02,0.07,0.05,0.01
2.3,0.03566666666666669,0.026291105382281327,0.03566666666666669,0.12,0.02,0.05,0.03,0.12,0.02,0.05,0.01,0.06,0.06,0.09,0.04,0.05,0.03,0.05,0.01,0.03,0.01,0.04,0.03,0.02,0.01,0.01,0.0,0.02,0.04,0.03,0.02,0.03,0.03,0.02,0.08,0.05,0.01
2.4,0.03166666666666667,0.02098941532190822,0.03166666666666667,0.09,0.01,0.04750000000000001,0.03,0.09,0.03,0.05,0.01,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.01,0.01,0.01,0.04,0.03,0.02,0.01,0.01,0.0,0.02,0.03,0.03,0.02,0.03,0.05,0.01,0.08,0.04,0.01
2.5,0.03433333333333334,0.01909333798882625,0.03433333333333334,0.1,0.02,0.04,0.035,0.1,0.02,0.04,0.01,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.03,0.01,0.03,0.06,0.04,0.02,0.02,0.02,0.0,0.04,0.03,0.03,0.04,0.03,0.02,0.02,0.06,0.04,0.01
2.6,0.03400000000000001,0.017625738755203048,0.03400000000000001,0.08,0.02,0.04,0.035,0.08,0.02,0.04,0.01,0.06,0.04,0.04,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.04,0.05,0.03,0.01,0.02,0.0,0.03,0.03,0.04,0.03,0.04,0.02,0.02,0.07,0.04,0.01
2.7,0.03433333333333334,0.0199471524005029,0.03433333333333334,0.09,0.02,0.05,0.03,0.09,0.02,0.04,0.01,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.01,0.02,0.03,0.05,0.05,0.03,0.01,0.02,0.0,0.02,0.03,0.03,0.03,0.03,0.03,0.01,0.07,0.05,0.01
2.8,0.03800000000000002,0.02039607805437114,0.03800000000000002,0.1,0.02,0.05,0.035,0.1,0.03,0.05,0.02,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.02,0.03,0.02,0.04,0.04,0.02,0.02,0.02,0.0,0.03,0.05,0.03,0.03,0.04,0.02,0.01,0.07,0.06,0.02
2.9,0.044000000000000025,0.02471167065713419,0.044000000000000025,0.12,0.03,0.06,0.04,0.12,0.03,0.05,0.02,0.05,0.06,0.07,0.07,0.07,0.06,0.05,0.02,0.04,0.02,0.06,0.03,0.03,0.01,0.02,0.01,0.04,0.03,0.04,0.04,0.04,0.04,0.01,0.09,0.07,0.03
3.0,0.03733333333333335,0.019988885800753267,0.03733333333333335,0.1,0.0225,0.05,0.03,0.1,0.02,0.05,0.02,0.05,0.05,0.06,0.04,0.06,0.06,0.04,0.03,0.03,0.03,0.06,0.04,0.03,0.01,0.02,0.0,0.03,0.03,0.03,0.04,0.03,0.02,0.01,0.06,0.05,0.02
3.1,0.04033333333333335,0.020572365498945967,0.04033333333333335,0.08,0.0225,0.06,0.04,0.08,0.01,0.06,0.02,0.07,0.04,0.06,0.05,0.07,0.06,0.04,0.03,0.02,0.04,0.06,0.04,0.04,0.01,0.02,0.0,0.05,0.06,0.03,0.04,0.03,0.03,0.02,0.06,0.06,0.01
3.2,0.04700000000000002,0.0226789182575654,0.04700000000000002,0.11,0.03,0.06,0.05,0.11,0.04,0.06,0.02,0.06,0.05,0.07,0.05,0.06,0.07,0.04,0.05,0.02,0.07,0.08,0.05,0.04,0.03,0.02,0.0,0.06,0.06,0.04,0.06,0.03,0.03,0.02,0.05,0.06,0.01
3.3,0.04533333333333336,0.019618585292749544,0.04533333333333336,0.09,0.03,0.06,0.05,0.09,0.01,0.06,0.03,0.05,0.05,0.06,0.04,0.07,0.07,0.04,0.06,0.04,0.06,0.06,0.04,0.05,0.01,0.04,0.01,0.06,0.06,0.03,0.05,0.03,0.03,0.03,0.06,0.06,0.01
3.4,0.05333333333333336,0.028205594401741568,0.05333333333333336,0.12,0.0325,0.07,0.05,0.12,0.02,0.1,0.05,0.07,0.05,0.1,0.06,0.08,0.09,0.06,0.03,0.02,0.04,0.07,0.05,0.04,0.01,0.02,0.0,0.06,0.07,0.04,0.06,0.04,0.05,0.03,0.08,0.07,0.02
3.5,0.042333333333333355,0.02155355088043628,0.042333333333333355,0.1,0.0225,0.06,0.04,0.1,0.02,0.07,0.03,0.06,0.04,0.06,0.05,0.07,0.07,0.06,0.03,0.02,0.04,0.06,0.04,0.03,0.01,0.02,0.0,0.05,0.05,0.03,0.06,0.02,0.04,0.02,0.05,0.05,0.02
3.6,0.04400000000000002,0.021071307505705475,0.04400000000000002,0.09,0.03,0.06,0.05,0.09,0.02,0.05,0.02,0.05,0.05,0.06,0.04,0.06,0.08,0.05,0.04,0.03,0.05,0.06,0.05,0.03,0.01,0.04,0.0,0.06,0.07,0.03,0.06,0.02,0.03,0.02,0.06,0.07,0.02
3.7,0.04700000000000002,0.02557994005726623,0.04700000000000002,0.12,0.03,0.0675,0.045,0.12,0.03,0.07,0.02,0.07,0.06,0.08,0.06,0.08,0.07,0.06,0.03,0.02,0.04,0.05,0.04,0.03,0.01,0.02,0.01,0.05,0.05,0.04,0.05,0.04,0.03,0.02,0.08,0.07,0.01
3.8,0.04600000000000002,0.023466287875730726,0.04600000000000002,0.11,0.03,0.06,0.045,0.11,0.03,0.06,0.04,0.05,0.03,0.08,0.04,0.07,0.08,0.06,0.03,0.04,0.06,0.06,0.05,0.05,0.01,0.02,0.0,0.07,0.05,0.03,0.07,0.02,0.03,0.04,0.04,0.05,0.01
3.9,0.05433333333333335,0.026164012604253876,0.05433333333333335,0.12,0.0325,0.07,0.055,0.12,0.03,0.06,0.03,0.06,0.04,0.07,0.06,0.08,0.1,0.06,0.04,0.02,0.05,0.07,0.08,0.06,0.01,0.03,0.02,0.08,0.07,0.04,0.09,0.02,0.05,0.04,0.05,0.08,0.02
4.0,0.04700000000000003,0.022083176100069178,0.04700000000000003,0.09,0.03,0.0675,0.05,0.09,0.02,0.05,0.03,0.06,0.03,0.06,0.06,0.08,0.08,0.05,0.04,0.03,0.05,0.07,0.05,0.04,0.02,0.03,0.0,0.07,0.07,0.03,0.07,0.02,0.05,0.04,0.04,0.07,0.01
4.1,0.05033333333333335,0.024424486802296492,0.05033333333333335,0.1,0.0325,0.06,0.05,0.09,0.02,0.05,0.03,0.06,0.04,0.06,0.05,0.07,0.1,0.05,0.03,0.03,0.05,0.06,0.08,0.05,0.02,0.04,0.0,0.09,0.06,0.05,0.1,0.03,0.04,0.05,0.04,0.06,0.01
4.2,0.04633333333333335,0.023732303348436748,0.04633333333333335,0.09,0.03,0.0675,0.045,0.08,0.01,0.06,0.03,0.07,0.03,0.05,0.06,0.08,0.09,0.05,0.03,0.02,0.04,0.07,0.06,0.04,0.01,0.03,0.0,0.08,0.07,0.04,0.07,0.03,0.04,0.03,0.05,0.06,0.01
4.3,0.05366666666666669,0.023307128141884452,0.05366666666666669,0.11,0.04,0.07,0.05,0.09,0.02,0.05,0.04,0.07,0.03,0.06,0.06,0.07,0.11,0.06,0.04,0.03,0.05,0.06,0.08,0.04,0.02,0.04,0.02,0.08,0.06,0.05,0.08,0.04,0.04,0.05,0.08,0.08,0.01
4.4,0.05500000000000003,0.027537852736430512,0.05500000000000003,0.11,0.0325,0.07,0.06,0.1,0.02,0.07,0.03,0.07,0.04,0.06,0.07,0.08,0.11,0.06,0.03,0.02,0.04,0.07,0.07,0.05,0.01,0.03,0.0,0.09,0.07,0.06,0.1,0.05,0.07,0.05,0.05,0.07,0.01
4.5,0.05366666666666669,0.02613851989348713,0.05366666666666669,0.11,0.04,0.07,0.06,0.11,0.01,0.06,0.05,0.07,0.04,0.09,0.07,0.09,0.1,0.07,0.05,0.04,0.06,0.06,0.06,0.04,0.01,0.03,0.0,0.07,0.06,0.06,0.07,0.03,0.06,0.03,0.05,0.06,0.01
4.6,0.05366666666666669,0.02762647683332463,0.05366666666666669,0.12,0.03,0.07,0.055,0.12,0.03,0.06,0.03,0.07,0.05,0.08,0.06,0.08,0.11,0.07,0.03,0.02,0.05,0.07,0.09,0.04,0.02,0.02,0.01,0.07,0.06,0.04,0.08,0.03,0.05,0.03,0.06,0.07,0.01
4.7,0.04633333333333335,0.021210584359910713,0.04633333333333335,0.08,0.03,0.06,0.05,0.08,0.02,0.04,0.03,0.05,0.06,0.06,0.06,0.08,0.07,0.05,0.03,0.02,0.04,0.08,0.05,0.06,0.01,0.02,0.0,0.05,0.07,0.06,0.05,0.05,0.05,0.03,0.05,0.06,0.01
4.8,0.05166666666666669,0.024094720491334935,0.05166666666666669,0.11,0.0325,0.07,0.05,0.08,0.02,0.04,0.03,0.05,0.06,0.06,0.06,0.08,0.11,0.04,0.03,0.02,0.06,0.07,0.09,0.05,0.02,0.03,0.01,0.07,0.05,0.07,0.08,0.04,0.05,0.04,0.07,0.06,0.01
4.9,0.056666666666666685,0.02936362072739365,0.056666666666666685,0.12,0.04,0.0775,0.05,0.11,0.02,0.04,0.03,0.05,0.05,0.09,0.06,0.09,0.12,0.08,0.04,0.03,0.04,0.09,0.07,0.05,0.02,0.04,0.01,0.1,0.05,0.06,0.11,0.04,0.05,0.05,0.05,0.05,0.01
