"time","mean","stdev","min","max","q1","q3","median","sDE2","sDE1","sBE","sNO","sNL","sBY","sSI","sBG","sSK","sFI","sSE","sDK","sIS","sUA","sIT","sMT","sUK","sMK","sIE","sME","sMD","sIL","sES","sCH","sGR","sPT","sEE","sCY","sCZ","sFR1","sFR2","sAT","sHR","sHU","sLT","sLU","sLV","sRO","sRS","sTR","sPL"
0.1,0.01774390243902439,0.014865298414969393,0.01774390243902439,0.0675,0.0075,0.02,0.0125,0.0675,0.0025,0.0075,0.01,0.015,0.005,0.0125,0.0225,0.0225,0.0075,0.015,0.055,0.0175,0.005,0.035,0.0075,0.035,0.01,0.005,0.005,0.005,0.02,0.015,0.0375,0.0075,0.005,0.015,0.01,0.0225,0.0125,0.0175,0.0475,0.0125,0.0475,0.005,0.0075,0.0075,0.02,0.01,0.02,0.02
0.2,0.03225609756097561,0.027667477154378266,0.03225609756097561,0.1275,0.015,0.0375,0.025,0.1275,0.02,0.0225,0.025,0.0525,0.005,0.015,0.0275,0.0425,0.0075,0.025,0.0975,0.0225,0.005,0.0825,0.015,0.0575,0.015,0.0075,0.015,0.005,0.03,0.0325,0.08,0.015,0.015,0.025,0.025,0.03,0.0275,0.04,0.08,0.0175,0.075,0.0075,0.015,0.0125,0.0375,0.0125,0.0325,0.02
0.3,0.04682926829268292,0.040110458729171926,0.04682926829268292,0.195,0.0225,0.055,0.035,0.195,0.03,0.025,0.035,0.075,0.01,0.0225,0.04,0.06,0.0125,0.0425,0.135,0.035,0.005,0.11,0.015,0.08,0.025,0.01,0.0275,0.01,0.035,0.0425,0.1075,0.03,0.0225,0.035,0.035,0.0475,0.03,0.05,0.1175,0.0225,0.115,0.0125,0.0225,0.02,0.07,0.02,0.055,0.03
0.4,0.06548780487804878,0.05513901365538521,0.06548780487804878,0.265,0.0275,0.08,0.045,0.265,0.0475,0.035,0.0475,0.1075,0.0175,0.0325,0.06,0.0925,0.02,0.0525,0.1775,0.0425,0.015,0.155,0.025,0.105,0.0275,0.015,0.0325,0.0175,0.0425,0.05,0.1525,0.0575,0.035,0.045,0.0425,0.08,0.04,0.065,0.175,0.0325,0.1575,0.0175,0.0275,0.025,0.0975,0.025,0.0725,0.055
0.5,0.08390243902439025,0.07108704896559236,0.08390243902439025,0.3525,0.0375,0.1075,0.0575,0.3525,0.07,0.045,0.0575,0.145,0.0225,0.04,0.07,0.12,0.025,0.0625,0.24,0.06,0.02,0.1875,0.03,0.1325,0.0325,0.0175,0.035,0.02,0.0525,0.055,0.185,0.0775,0.0375,0.065,0.0475,0.1075,0.055,0.0775,0.2175,0.0375,0.19,0.035,0.0375,0.045,0.12,0.03,0.1025,0.08
0.6,0.10304878048780484,0.0840776938080117,0.10304878048780484,0.415,0.0475,0.1425,0.0725,0.415,0.085,0.055,0.065,0.1825,0.025,0.0475,0.085,0.155,0.03,0.0725,0.295,0.085,0.0375,0.2175,0.0325,0.175,0.0375,0.025,0.04,0.03,0.07,0.065,0.2125,0.09,0.05,0.0875,0.0575,0.15,0.0725,0.0925,0.255,0.0475,0.2275,0.0475,0.04,0.065,0.1425,0.0375,0.1125,0.11
0.7,0.12109756097560978,0.10071852952249209,0.12109756097560978,0.5075,0.05,0.17,0.0875,0.5075,0.105,0.07,0.075,0.22,0.025,0.05,0.0925,0.1825,0.035,0.0875,0.345,0.0925,0.0425,0.2525,0.0375,0.205,0.04,0.0275,0.045,0.0375,0.0875,0.075,0.25,0.1,0.06,0.0975,0.0675,0.1875,0.08,0.1,0.2925,0.0475,0.2625,0.065,0.0525,0.08,0.17,0.04,0.14,0.135
0.8,0.14121951219512197,0.11579013020728748,0.14121951219512197,0.5875,0.065,0.1875,0.1,0.5875,0.1225,0.085,0.0925,0.255,0.0275,0.075,0.1,0.2175,0.0475,0.1125,0.4025,0.105,0.0425,0.2825,0.0375,0.2325,0.045,0.0325,0.055,0.045,0.1,0.085,0.29,0.11,0.065,0.115,0.0725,0.2075,0.1025,0.1125,0.3375,0.075,0.31,0.085,0.0575,0.1,0.1875,0.0475,0.165,0.1625
0.9,0.1628048780487805,0.13299458443259926,0.1628048780487805,0.685,0.075,0.21,0.115,0.685,0.1375,0.105,0.1025,0.29,0.0375,0.0925,0.105,0.2475,0.0475,0.1225,0.4475,0.135,0.0475,0.3225,0.0425,0.2825,0.045,0.04,0.065,0.0525,0.1175,0.0975,0.34,0.1325,0.075,0.13,0.0825,0.2375,0.1125,0.1325,0.3825,0.09,0.35,0.1,0.07,0.115,0.21,0.055,0.19,0.2025
1.0,0.17835365853658536,0.14544885296240226,0.17835365853658536,0.7525,0.08,0.2225,0.1275,0.7525,0.15,0.11,0.1225,0.3175,0.0475,0.1075,0.1175,0.27,0.05,0.14,0.4825,0.15,0.0525,0.35,0.0425,0.31,0.05,0.045,0.07,0.0525,0.13,0.1075,0.38,0.145,0.08,0.1375,0.09,0.26,0.1275,0.145,0.415,0.105,0.385,0.1075,0.075,0.12,0.2225,0.0575,0.21,0.2225
