"time","mean","stdev","min","max","q1","q3","median","sDE2","sDE1","sBE","sNO","sNL","sBY","sSI","sBG","sSK","sFI","sSE","sDK","sIS","sUA","sIT","sMT","sUK","sMK","sIE","sME","sMD","sIL","sES","sCH","sGR","sPT","sEE","sCY","sCZ","sFR1","sFR2","sAT","sHR","sHU","sLT","sLU","sLV","sRO","sRS","sTR","sPL"
0.1,0.028292682926829266,0.02832433574227166,0.028292682926829266,0.155,0.0125,0.0325,0.0175,0.155,0.0125,0.0,0.0325,0.0125,0.0125,0.0175,0.0225,0.045,0.005,0.0225,0.0725,0.0075,0.025,0.04,0.01,0.0225,0.0075,0.0075,0.02,0.0175,0.0125,0.015,0.0575,0.01,0.01,0.0125,0.03,0.06,0.015,0.0175,0.0375,0.0225,0.0725,0.0225,0.0175,0.01,0.0225,0.0075,0.0575,0.0825
0.2,0.07097560975609757,0.06575517703994892,0.07097560975609757,0.3725,0.0325,0.08,0.0475,0.3725,0.04,0.0225,0.05,0.0575,0.02,0.0425,0.075,0.09,0.025,0.0675,0.1875,0.025,0.0475,0.1225,0.0275,0.08,0.015,0.02,0.0325,0.0425,0.0375,0.0375,0.145,0.0275,0.035,0.0375,0.055,0.1125,0.065,0.0475,0.115,0.04,0.17,0.0425,0.0525,0.0275,0.0675,0.0225,0.135,0.175
0.3,0.11609756097560975,0.10272513760755048,0.11609756097560975,0.58,0.0575,0.1375,0.0775,0.58,0.0675,0.04,0.0725,0.09,0.045,0.0675,0.115,0.1425,0.0375,0.1025,0.28,0.0425,0.0825,0.215,0.04,0.1375,0.035,0.0475,0.06,0.0725,0.0625,0.075,0.2425,0.0425,0.06,0.0575,0.085,0.17,0.11,0.0925,0.2,0.0675,0.2725,0.0775,0.0825,0.0375,0.1275,0.0225,0.225,0.2775
0.4,0.163109756097561,0.13993877198553145,0.163109756097561,0.7875,0.0775,0.18,0.105,0.7875,0.1,0.0675,0.0875,0.1425,0.055,0.1025,0.1625,0.1775,0.0525,0.15,0.395,0.0725,0.1,0.325,0.0575,0.195,0.0525,0.0625,0.0875,0.0975,0.0775,0.1375,0.3325,0.065,0.085,0.09,0.11,0.21,0.1525,0.1575,0.305,0.1025,0.395,0.105,0.1125,0.0575,0.18,0.03,0.315,0.3375
0.5,0.20530487804878053,0.17497752043943096,0.20530487804878053,0.9875,0.105,0.225,0.1325,0.9875,0.1325,0.1,0.105,0.1925,0.0775,0.12,0.2125,0.225,0.0625,0.1725,0.495,0.105,0.1125,0.405,0.075,0.2725,0.075,0.0775,0.0975,0.105,0.115,0.1675,0.4275,0.08,0.115,0.1175,0.1425,0.2675,0.2,0.19,0.3925,0.125,0.48,0.135,0.1275,0.0675,0.2125,0.04,0.385,0.4225
0.6,0.2335365853658536,0.18320900999797426,0.2335365853658536,1.0,0.12,0.2825,0.1475,1.0,0.1475,0.1325,0.12,0.2225,0.0925,0.135,0.2275,0.2825,0.075,0.195,0.5625,0.1375,0.125,0.46,0.0825,0.335,0.0875,0.095,0.1025,0.1325,0.12,0.2025,0.4575,0.09,0.1325,0.1475,0.145,0.3175,0.255,0.2275,0.4725,0.14,0.525,0.1675,0.1325,0.1075,0.26,0.0525,0.395,0.4775
0.7,0.25865853658536575,0.19255510579724996,0.25865853658536575,1.0,0.1325,0.3425,0.17,1.0,0.155,0.1425,0.125,0.2425,0.1025,0.165,0.265,0.3425,0.08,0.205,0.6125,0.175,0.1325,0.5175,0.095,0.3925,0.0975,0.1075,0.1075,0.155,0.1225,0.2275,0.4825,0.1075,0.1525,0.17,0.1475,0.365,0.3125,0.2475,0.5825,0.1575,0.5675,0.19,0.145,0.135,0.3025,0.0575,0.395,0.52
0.8,0.2751219512195122,0.2005335499114679,0.2751219512195122,1.0,0.1325,0.3825,0.1825,1.0,0.1575,0.145,0.1275,0.245,0.11,0.1825,0.2925,0.3825,0.0825,0.21,0.635,0.1925,0.1325,0.57,0.1025,0.4225,0.11,0.1175,0.11,0.17,0.1225,0.255,0.5075,0.1175,0.17,0.175,0.15,0.3925,0.3425,0.265,0.66,0.175,0.6025,0.2075,0.1475,0.1525,0.33,0.065,0.3975,0.5475
0.9,0.2917073170731707,0.20910993069960152,0.2917073170731707,1.0,0.135,0.4,0.195,1.0,0.165,0.1625,0.13,0.2575,0.1175,0.19,0.315,0.41,0.085,0.2175,0.6575,0.205,0.135,0.6375,0.11,0.465,0.1175,0.13,0.1175,0.195,0.13,0.2775,0.5375,0.1325,0.185,0.185,0.1525,0.41,0.3775,0.285,0.7375,0.1825,0.6275,0.2125,0.1475,0.165,0.365,0.0675,0.4,0.5625
1.0,0.3045731707317073,0.2140840546395786,0.3045731707317073,1.0,0.1475,0.4,0.2025,1.0,0.175,0.17,0.1375,0.2675,0.125,0.2,0.3325,0.4375,0.0875,0.22,0.6825,0.2275,0.1375,0.6675,0.1175,0.5,0.13,0.1475,0.1275,0.2025,0.13,0.2925,0.55,0.1375,0.195,0.195,0.16,0.43,0.3975,0.3025,0.7775,0.1925,0.6525,0.22,0.15,0.1775,0.3775,0.075,0.4,0.5825
1.1,0.30292682926829273,0.21474595203248117,0.30292682926829273,1.0,0.1425,0.4075,0.1925,1.0,0.17,0.18,0.115,0.265,0.1175,0.19,0.325,0.415,0.1,0.22,0.6775,0.24,0.1225,0.695,0.125,0.52,0.1275,0.165,0.125,0.1925,0.1325,0.295,0.5725,0.135,0.1925,0.19,0.1475,0.4075,0.4125,0.305,0.775,0.1875,0.6425,0.22,0.1425,0.175,0.37,0.0825,0.4025,0.545
1.2,0.2979878048780488,0.21226509219246137,0.2979878048780488,1.0,0.13,0.395,0.195,1.0,0.1575,0.1825,0.11,0.2625,0.1225,0.1875,0.3025,0.4,0.11,0.24,0.715,0.26,0.11,0.675,0.12,0.5275,0.13,0.18,0.1125,0.1775,0.13,0.2925,0.5475,0.1225,0.1925,0.195,0.135,0.395,0.395,0.3025,0.74,0.1875,0.625,0.225,0.115,0.185,0.345,0.08,0.4075,0.5175
1.3,0.2889634146341464,0.20839103107437879,0.2889634146341464,0.995,0.1325,0.3825,0.2,0.995,0.145,0.175,0.1075,0.2625,0.1175,0.18,0.285,0.3825,0.1025,0.22,0.69,0.26,0.08,0.67,0.1225,0.525,0.13,0.165,0.0975,0.1525,0.1275,0.2875,0.5525,0.1325,0.19,0.2,0.1375,0.36,0.4,0.2925,0.7125,0.18,0.6025,0.2225,0.12,0.1925,0.31,0.09,0.405,0.4675
1.4,0.279329268292683,0.2043132640703348,0.279329268292683,0.995,0.1325,0.375,0.1925,0.995,0.13,0.17,0.1,0.255,0.12,0.165,0.28,0.375,0.1075,0.2,0.67,0.2475,0.065,0.6225,0.1225,0.525,0.1375,0.1725,0.105,0.1375,0.1375,0.2525,0.5075,0.12,0.18,0.1925,0.1325,0.35,0.385,0.2575,0.6625,0.1675,0.63,0.195,0.12,0.1775,0.2825,0.1075,0.4575,0.435
1.5,0.2734756097560976,0.20028628751387753,0.2734756097560976,0.9975,0.13,0.3725,0.185,0.9975,0.12,0.175,0.0975,0.2675,0.1125,0.1525,0.2575,0.3725,0.125,0.2175,0.69,0.2525,0.08,0.58,0.1175,0.5175,0.13,0.18,0.0975,0.1425,0.135,0.2225,0.4775,0.13,0.1675,0.195,0.1325,0.335,0.375,0.2175,0.59,0.1625,0.6375,0.185,0.115,0.18,0.2725,0.1075,0.4725,0.42
1.6,0.2621951219512196,0.19480305495578631,0.2621951219512196,0.985,0.125,0.3375,0.18,0.985,0.1025,0.155,0.095,0.245,0.0975,0.1425,0.25,0.365,0.1175,0.2125,0.66,0.2425,0.0825,0.5575,0.11,0.5175,0.1225,0.18,0.1025,0.125,0.1325,0.1975,0.455,0.13,0.1675,0.1725,0.15,0.3375,0.3275,0.2,0.565,0.1575,0.6075,0.1825,0.115,0.18,0.24,0.11,0.455,0.4
1.7,0.2520121951219513,0.1919303572820125,0.2520121951219513,1.0,0.1225,0.32,0.165,1.0,0.1,0.1425,0.0875,0.2325,0.095,0.125,0.2375,0.3425,0.1225,0.2075,0.62,0.2175,0.085,0.5425,0.1075,0.5,0.115,0.185,0.105,0.11,0.1275,0.1975,0.45,0.1275,0.1625,0.1575,0.165,0.32,0.2825,0.2,0.54,0.1475,0.5825,0.1625,0.1075,0.16,0.2225,0.1075,0.4475,0.385
1.8,0.24670731707317073,0.18987996772061658,0.24670731707317073,1.0,0.1125,0.2975,0.1675,1.0,0.1125,0.1475,0.09,0.235,0.095,0.1125,0.2225,0.31,0.1275,0.2175,0.6375,0.225,0.0825,0.515,0.1025,0.5075,0.1075,0.1875,0.1075,0.0975,0.125,0.18,0.4425,0.115,0.1575,0.1675,0.16,0.2975,0.2675,0.1875,0.4825,0.1375,0.5775,0.165,0.11,0.16,0.2125,0.105,0.45,0.375
1.9,0.2421341463414634,0.18964549805251993,0.2421341463414634,1.0,0.11,0.2775,0.1725,1.0,0.11,0.155,0.09,0.235,0.085,0.105,0.215,0.2825,0.13,0.2125,0.6425,0.245,0.085,0.4925,0.0975,0.535,0.11,0.1875,0.1075,0.0825,0.12,0.18,0.445,0.1075,0.1525,0.1725,0.16,0.2775,0.2775,0.185,0.4375,0.125,0.57,0.1475,0.11,0.1425,0.1925,0.115,0.4525,0.3525
2.0,0.2351829268292682,0.18703103160084844,0.2351829268292682,1.0,0.11,0.27,0.165,1.0,0.105,0.155,0.085,0.235,0.08,0.1025,0.21,0.275,0.1325,0.2175,0.6375,0.24,0.0875,0.4475,0.09,0.515,0.1075,0.1775,0.1,0.06,0.1175,0.18,0.4175,0.11,0.1525,0.1725,0.15,0.27,0.255,0.18,0.39,0.1225,0.5725,0.15,0.11,0.1425,0.165,0.1175,0.4575,0.35
2.1,0.22859756097560982,0.1847081158012058,0.22859756097560982,1.0,0.1075,0.25,0.1575,1.0,0.105,0.1525,0.09,0.24,0.075,0.1,0.2025,0.25,0.125,0.2125,0.6225,0.2225,0.085,0.425,0.0775,0.495,0.105,0.1575,0.0975,0.0625,0.115,0.1775,0.4125,0.105,0.1525,0.165,0.155,0.2525,0.25,0.18,0.375,0.1175,0.555,0.14,0.1125,0.135,0.165,0.1075,0.46,0.3375
2.2,0.22469512195121952,0.18263083776578887,0.22469512195121952,0.995,0.1075,0.245,0.1575,0.995,0.1075,0.1475,0.095,0.2375,0.075,0.0925,0.2,0.255,0.1225,0.2075,0.615,0.2075,0.085,0.41,0.07,0.475,0.105,0.145,0.0975,0.065,0.1225,0.1775,0.395,0.11,0.1525,0.1575,0.1575,0.245,0.235,0.1825,0.37,0.1075,0.555,0.13,0.1175,0.1275,0.1675,0.1025,0.46,0.33
2.3,0.2223170731707317,0.1820457847830796,0.2223170731707317,1.0,0.1075,0.245,0.1525,1.0,0.1075,0.1475,0.095,0.2325,0.08,0.09,0.205,0.25,0.1225,0.2025,0.605,0.2,0.0925,0.4025,0.0625,0.45,0.105,0.1425,0.0925,0.07,0.125,0.1725,0.3975,0.1025,0.1425,0.1525,0.155,0.245,0.22,0.18,0.3725,0.1175,0.5525,0.13,0.1125,0.1175,0.18,0.0925,0.4575,0.335
2.4,0.2209146341463415,0.17991423778170942,0.2209146341463415,0.99,0.1025,0.2475,0.1625,0.99,0.1025,0.1375,0.095,0.21,0.0825,0.0925,0.2025,0.26,0.1175,0.1925,0.59,0.205,0.0875,0.4025,0.0575,0.435,0.1025,0.1375,0.0925,0.0775,0.13,0.1775,0.385,0.105,0.1425,0.1625,0.165,0.2475,0.215,0.1775,0.3825,0.1175,0.55,0.135,0.1,0.1275,0.18,0.09,0.4625,0.335
2.5,0.22060975609756098,0.18354136611551705,0.22060975609756098,1.0,0.0975,0.24,0.1575,1.0,0.095,0.13,0.0975,0.1875,0.0725,0.0975,0.2,0.25,0.1225,0.195,0.6125,0.2025,0.085,0.405,0.07,0.41,0.1,0.1325,0.095,0.0825,0.13,0.17,0.4025,0.0875,0.1325,0.1675,0.1575,0.24,0.215,0.1775,0.38,0.12,0.56,0.145,0.09,0.1275,0.1925,0.0875,0.4875,0.3325
2.6,0.2140243902439024,0.18253288882466356,0.2140243902439024,0.985,0.0925,0.22,0.145,0.985,0.0925,0.125,0.1025,0.18,0.075,0.0875,0.1875,0.24,0.12,0.2,0.63,0.19,0.075,0.4,0.0675,0.3775,0.09,0.1175,0.0925,0.085,0.1175,0.1675,0.4025,0.0875,0.1275,0.165,0.145,0.22,0.2,0.1775,0.3775,0.1125,0.545,0.135,0.075,0.1125,0.1975,0.09,0.475,0.325
2.7,0.21060975609756097,0.1818592833187484,0.21060975609756097,0.995,0.09,0.2325,0.13,0.995,0.0875,0.13,0.1075,0.1925,0.0825,0.0875,0.18,0.235,0.125,0.2025,0.6275,0.19,0.0675,0.41,0.075,0.35,0.09,0.105,0.075,0.08,0.1175,0.16,0.425,0.085,0.12,0.165,0.1275,0.2325,0.2025,0.185,0.35,0.1075,0.51,0.1275,0.085,0.105,0.1825,0.0825,0.46,0.31
2.8,0.20768292682926817,0.18026351835568466,0.20768292682926817,1.0,0.0925,0.24,0.1475,1.0,0.075,0.13,0.1025,0.2,0.0825,0.0925,0.18,0.24,0.12,0.1925,0.5825,0.1775,0.0725,0.4075,0.0675,0.35,0.095,0.0975,0.0675,0.0775,0.125,0.1575,0.425,0.0775,0.1225,0.15,0.1475,0.245,0.21,0.185,0.345,0.1025,0.5025,0.1175,0.085,0.09,0.175,0.0825,0.4525,0.3075
2.9,0.20542682926829262,0.17888961581389795,0.20542682926829262,1.0,0.09,0.2425,0.135,1.0,0.075,0.11,0.1075,0.195,0.09,0.0975,0.1825,0.2425,0.11,0.1875,0.5725,0.16,0.0725,0.4175,0.07,0.3,0.0975,0.09,0.0625,0.0825,0.1275,0.1625,0.435,0.08,0.1125,0.1525,0.135,0.255,0.195,0.2025,0.365,0.0975,0.485,0.1225,0.09,0.09,0.17,0.08,0.4225,0.32
3.0,0.20890243902439026,0.18006862579042232,0.20890243902439026,1.0,0.095,0.255,0.1375,1.0,0.0725,0.1,0.105,0.1925,0.09,0.1025,0.1975,0.255,0.11,0.185,0.565,0.1525,0.0725,0.43,0.07,0.295,0.1,0.09,0.07,0.0875,0.1275,0.1625,0.445,0.0875,0.11,0.15,0.1375,0.2675,0.1975,0.2025,0.3925,0.11,0.5,0.13,0.0875,0.095,0.185,0.0825,0.42,0.3325
3.1,0.2149390243902439,0.1812528282410778,0.2149390243902439,1.0,0.0975,0.275,0.135,1.0,0.075,0.105,0.0975,0.1925,0.09,0.1075,0.22,0.275,0.115,0.19,0.565,0.16,0.0775,0.45,0.08,0.3075,0.11,0.0925,0.07,0.0875,0.1275,0.175,0.4525,0.095,0.1175,0.1575,0.135,0.285,0.2,0.215,0.415,0.115,0.5075,0.1325,0.0825,0.1,0.1925,0.08,0.4175,0.3425
3.2,0.2182926829268293,0.18222326079765103,0.2182926829268293,0.9975,0.1,0.2825,0.1375,0.9975,0.075,0.11,0.0975,0.1875,0.0925,0.11,0.2325,0.2825,0.115,0.1975,0.575,0.165,0.08,0.455,0.08,0.3225,0.115,0.1025,0.0675,0.085,0.1275,0.175,0.4525,0.1,0.11,0.165,0.1375,0.29,0.21,0.215,0.4175,0.1175,0.52,0.1325,0.0825,0.1,0.195,0.085,0.425,0.3475
3.3,0.21719512195121946,0.18343038415121732,0.21719512195121946,1.0,0.1,0.2775,0.1425,1.0,0.08,0.105,0.105,0.1975,0.0875,0.11,0.2425,0.2775,0.1125,0.1925,0.5775,0.165,0.075,0.455,0.0825,0.3125,0.1225,0.095,0.065,0.0775,0.1225,0.17,0.4525,0.1,0.1075,0.165,0.1425,0.2875,0.2025,0.21,0.415,0.1175,0.5275,0.125,0.08,0.09,0.1925,0.0875,0.44,0.3325
