"node1","node2","delay","cap"
"sAT","sSK",10.0,100.0
"sAT","sIT",10.0,100.0
"sAT","sGR",10.0,20.0
"sAT","sSI",10.0,100.0
"sAT","sBG",10.0,10.0
"sAT","sRO",10.0,10.0
"sBE","sUK",10.0,100.0
"sBE","sNL",10.0,100.0
"sBG","sHU",10.0,10.0
"sBG","sMK",10.0,5.0
"sBY","sPL",10.0,5.0
"sCH","sFR1",10.0,100.0
"sCH","sFR2",10.0,100.0
"sCH","sIT",10.0,100.0
"sCH","sDE2",10.0,100.0
"sCY","sDE2",10.0,5.0
"sCY","sUK",10.0,5.0
"sCZ","sDE2",10.0,100.0
"sCZ","sSK",10.0,100.0
"sCZ","sPL",10.0,10.0
"sDE1","sNL",10.0,100.0
"sDE1","sDK",10.0,100.0
"sDE2","sNL",10.0,100.0
"sDE2","sDK",10.0,100.0
"sDE2","sPL",10.0,30.0
"sDE2","sTR",10.0,10.0
"sDE2","sIL",10.0,10.0
"sDE2","sLU",10.0,10.0
"sDK","sIS",10.0,10.0
"sDK","sNO",10.0,100.0
"sDK","sSE",10.0,100.0
"sDK","sEE",10.0,10.0
"sDK","sNL",10.0,100.0
"sEE","sLV",10.0,10.0
"sES","sFR1",10.0,30.0
"sES","sFR2",10.0,100.0
"sES","sPT",10.0,10.0
"sFI","sSE",10.0,100.0
"sFR1","sUK",10.0,100.0
"sFR2","sIT",10.0,100.0
"sGR","sIT",10.0,20.0
"sHR","sSI",10.0,100.0
"sHR","sHU",10.0,100.0
"sHU","sSK",10.0,100.0
"sHU","sRO",10.0,10.0
"sHU","sRS",10.0,10.0
"sHU","sTR",10.0,20.0
"sHU","sME",10.0,5.0
"sIE","sUK",10.0,120.0
"sIL","sUK",10.0,10.0
"sIS","sUK",10.0,5.0
"sIT","sMT",10.0,5.0
"sLT","sLV",10.0,10.0
"sLT","sPL",10.0,10.0
"sLU","sNL",10.0,10.0
"sMD","sRO",10.0,5.0
"sNO","sSE",10.0,100.0
"sPL","sUA",10.0,5.0
"sPT","sUK",10.0,10.0
