node1,node2,delay,cap
s1,s2,10,1
s1,s3,10,1
s1,s4,10,1
s2,s3,10,1
s2,s12,10,1
s3,s6,10,1
s4,s5,10,1
s4,s6,10,1
s5,s8,10,1
s5,s25,10,1
s5,s27,10,1
s6,s9,10,1
s6,s10,10,1
s6,s12,10,1
s7,s8,10,1
s7,s9,10,1
s7,s20,10,1
s7,s25,10,1
s8,s9,10,1
s9,s10,10,1
s9,s18,10,1
s10,s11,10,1
s10,s16,10,1
s11,s12,10,1
s11,s13,10,1
s11,s16,10,1
s13,s14,10,1
s13,s15,10,1
s13,s16,10,1
s14,s15,10,1
s14,s17,10,1
s15,s17,10,1
s16,s17,10,1
s17,s18,10,1
s17,s19,10,1
s18,s19,10,1
s18,s20,10,1
s19,s20,10,1
s19,s21,10,1
s20,s21,10,1
s20,s26,10,1
s21,s22,10,1
s22,s23,10,1
s22,s24,10,1
s23,s24,10,1
s23,s26,10,1
s23,s28,10,1
s24,s30,10,1
s25,s26,10,1
s25,s27,10,1
s25,s28,10,1
s27,s28,10,1
s27,s29,10,1
s28,s29,10,1
s28,s30,10,1
s29,s30,10,1
